Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
8/1/14,Place in Darmstadt,2014-08-01T00:00:00+02:00,2014-08-01T08:30:04+02:00,30604,49.8819681239,8.6703339401,,
8/1/14,Place in Darmstadt,2014-08-01T08:35:19+02:00,2014-08-01T08:39:29+02:00,250,49.8822491921,8.6660203318,,
8/1/14,Place in Darmstadt,2014-08-01T09:06:48+02:00,2014-08-01T13:24:48+02:00,15480,49.8711145037,8.6266934201,,
8/1/14,Place in Darmstadt,2014-08-01T13:35:33+02:00,2014-08-01T13:40:05+02:00,272,49.8722318034,8.6316007022,,
8/1/14,Place in Darmstadt,2014-08-01T14:03:31+02:00,2014-08-02T00:00:00+02:00,35789,49.8829100725,8.6682008619,,
8/2/14,Place in Darmstadt,2014-08-02T00:00:00+02:00,2014-08-02T13:13:59+02:00,47639,49.8829100725,8.6682008619,,
8/2/14,Place in Darmstadt,2014-08-02T13:20:35+02:00,2014-08-02T13:31:56+02:00,681,49.8853907879,8.6710590028,,
8/2/14,Place in Darmstadt,2014-08-02T13:40:10+02:00,2014-08-02T18:25:41+02:00,17131,49.8819681239,8.6703339401,,
8/2/14,Place in Darmstadt,2014-08-02T18:55:54+02:00,2014-08-02T21:39:25+02:00,9811,49.8575996593,8.6471039481,,
8/2/14,Place in Darmstadt,2014-08-02T22:29:55+02:00,2014-08-03T00:00:00+02:00,5405,49.8821677347,8.6695544869,,
8/3/14,Place in Darmstadt,2014-08-03T00:00:00+02:00,2014-08-03T10:02:03+02:00,36123,49.8821677347,8.6695544869,,
8/3/14,Place in Darmstadt,2014-08-03T10:23:29+02:00,2014-08-03T10:34:49+02:00,680,49.8713012242,8.6320447878,,
8/3/14,Place in Darmstadt Hbf,2014-08-03T10:39:42+02:00,2014-08-03T11:14:11+02:00,2069,49.8727710369,8.630890125,,
8/3/14,Place in Darmstadt Hbf,2014-08-03T11:16:46+02:00,2014-08-03T11:27:35+02:00,649,49.8726248452,8.6290326952,,
8/3/14,Place in Rüdesheim am Rhein,2014-08-03T13:11:40+02:00,2014-08-03T13:44:56+02:00,1996,49.9775075487,7.9188974098,,
8/3/14,Place in Rüdesheim am Rhein,2014-08-03T13:50:29+02:00,2014-08-03T14:11:35+02:00,1266,49.9794374776,7.9204817137,,
8/3/14,Place in Rüdesheim am Rhein,2014-08-03T14:18:25+02:00,2014-08-03T14:23:26+02:00,301,49.9824644276,7.9046316733,,
8/3/14,Place in Rüdesheim am Rhein,2014-08-03T14:28:37+02:00,2014-08-03T14:30:08+02:00,91,49.9820131765,7.9019735078,,
8/3/14,Place in Rüdesheim am Rhein,2014-08-03T14:35:46+02:00,2014-08-03T14:48:35+02:00,769,49.9810907012,7.9001559633,,
8/3/14,Place in Rüdesheim am Rhein,2014-08-03T15:18:16+02:00,2014-08-03T15:47:46+02:00,1770,49.9857612485,7.8827216556,,
8/3/14,Place in Assmanshausen,2014-08-03T16:03:47+02:00,2014-08-03T16:06:10+02:00,143,49.9884461757,7.8687190016,,
8/3/14,Place in Rüdesheim am Rhein,2014-08-03T17:00:15+02:00,2014-08-03T17:19:51+02:00,1176,49.9778648916,7.9242468678,,
8/3/14,Place in Darmstadt,2014-08-03T18:31:09+02:00,2014-08-03T18:38:23+02:00,434,49.8722318034,8.6316007022,,
8/3/14,Place in Darmstadt,2014-08-03T18:58:23+02:00,2014-08-04T00:00:00+02:00,18097,49.8821677347,8.6695544869,,
8/4/14,Place in Darmstadt,2014-08-04T00:00:00+02:00,2014-08-04T07:15:17+02:00,26117,49.8821677347,8.6695544869,,
8/4/14,Place in Darmstadt,2014-08-04T07:37:55+02:00,2014-08-04T08:52:44+02:00,4489,49.8706456023,8.6497123703,,
8/4/14,Place in Friedensplatz,2014-08-04T08:58:09+02:00,2014-08-04T09:40:47+02:00,2558,49.873520488,8.6540199876,,
8/4/14,Place in Darmstadt,2014-08-04T09:54:34+02:00,2014-08-04T10:03:16+02:00,522,49.8730148629,8.630045961,,
8/4/14,Place in Innenstadt,2014-08-04T11:45:15+02:00,2014-08-04T11:57:57+02:00,762,50.1144566513,8.6823866721,,
8/4/14,Place in Innenstadt,2014-08-04T12:04:29+02:00,2014-08-04T12:16:38+02:00,729,50.1145911186,8.6796540891,,
8/4/14,Place in Hauptbahnhof,2014-08-04T12:47:17+02:00,2014-08-04T12:49:53+02:00,156,50.106483741,8.6625383805,,
8/4/14,Place in Darmstadt,2014-08-04T14:03:30+02:00,2014-08-05T00:00:00+02:00,35790,49.8819681239,8.6703339401,,
8/5/14,Place in Darmstadt,2014-08-05T00:00:00+02:00,2014-08-05T08:40:26+02:00,31226,49.8819681239,8.6703339401,,
8/5/14,Place in Darmstadt,2014-08-05T09:14:53+02:00,2014-08-05T13:14:53+02:00,14400,49.8714705726,8.6262097913,,
8/5/14,Place in TU Darmstadt,2014-08-05T13:49:24+02:00,2014-08-05T13:55:41+02:00,377,49.8745376003,8.6604313156,,
8/5/14,Place in Maschinenhaus,2014-08-05T13:59:24+02:00,2014-08-05T14:25:52+02:00,1588,49.8770449952,8.657750091,,
8/5/14,Place in Darmstadt,2014-08-05T14:39:10+02:00,2014-08-05T18:59:05+02:00,15595,49.8819681239,8.6703339401,,
