Date,Activity,Group,Duration,Distance,Steps,Calories
10/20/14,walking,walking,4422,5.539,7514,0
10/21/14,walking,walking,4050,5.075,6852,0
10/22/14,walking,walking,2813,2.793,3904,0
10/23/14,walking,walking,2743,3.602,4302,0
10/23/14,transport,transport,2071,8.858,0,0
10/23/14,running,running,119,0.304,203,0
10/24/14,walking,walking,6067,7.538,9345,0
10/24/14,transport,transport,2797,9.727,0,0
10/24/14,cycling,cycling,700,2.443,0,0
10/25/14,walking,walking,10048,12.186,14780,0
10/26/14,walking,walking,1595,1.791,2389,0
