Date,Activity,Group,Duration,Distance,Steps,Calories
7/28/14,walking,walking,2211,2.684,3300,0
7/28/14,transport,transport,581,1.706,0,0
7/29/14,walking,walking,4292,4.681,6761,0
7/29/14,cycling,cycling,467,1.621,0,0
7/30/14,walking,walking,4381,5.180,6804,0
7/30/14,transport,transport,1698,5.562,0,0
7/30/14,cycling,cycling,1680,5.729,0,0
7/31/14,walking,walking,6312,7.968,10384,0
7/31/14,transport,transport,305,0.799,0,0
8/1/14,walking,walking,2386,2.334,3710,0
8/1/14,transport,transport,1822,7.146,0,0
8/2/14,walking,walking,5388,5.924,8738,0
8/2/14,transport,transport,1581,5.453,0,0
8/3/14,walking,walking,8923,9.616,12900,0
8/3/14,transport,transport,14760,173.074,0,0
