Date,Activity,Group,Duration,Distance,Steps,Calories
9/8/14,walking,walking,1536,1.594,2319,0
9/8/14,cycling,cycling,2324,9.217,0,0
9/8/14,transport,transport,337,0.591,0,0
9/9/14,walking,walking,3349,3.385,4837,0
9/9/14,transport,transport,2774,5.519,0,0
9/10/14,walking,walking,1913,1.871,2904,0
9/10/14,transport,transport,976,4.428,0,0
9/11/14,walking,walking,3325,3.941,5248,0
9/11/14,transport,transport,2135,6.947,0,0
9/12/14,walking,walking,608,0.545,839,0
9/13/14,walking,walking,699,0.564,1026,0
9/14/14,walking,walking,514,0.444,644,0
