Date,Activity,Group,Duration,Distance,Steps,Calories
10/27/14,walking,walking,5305,6.096,8471,0
10/27/14,transport,transport,1750,6.418,0,0
10/28/14,walking,walking,4766,5.818,7805,0
10/28/14,transport,transport,919,3.404,0,0
10/29/14,walking,walking,3841,4.923,6348,0
10/29/14,transport,transport,2042,6.554,0,0
10/30/14,walking,walking,4372,5.531,6806,0
10/30/14,transport,transport,1237,4.470,0,0
10/31/14,walking,walking,2526,3.104,3736,0
10/31/14,transport,transport,1826,7.495,0,0
11/1/14,walking,walking,1928,2.134,2863,0
11/2/14,walking,walking,698,0.534,850,0
