Date,Activity,Group,Duration,Distance,Steps,Calories
10/13/14,walking,walking,3608,4.515,6047,0
10/13/14,transport,transport,2549,9.510,0,0
10/14/14,walking,walking,5749,6.561,8580,0
10/14/14,transport,transport,1955,6.326,0,0
10/15/14,walking,walking,2487,2.291,3468,0
10/15/14,transport,transport,3435,7.680,0,0
10/15/14,cycling,cycling,1137,4.022,0,0
10/16/14,walking,walking,3607,3.990,5338,0
10/16/14,transport,transport,2360,5.939,0,0
10/16/14,cycling,cycling,1447,4.145,0,0
10/17/14,walking,walking,4886,4.906,7447,0
10/17/14,transport,transport,3342,8.842,0,0
10/18/14,walking,walking,974,0.812,1302,0
10/18/14,transport,transport,141,0.499,0,0
10/18/14,cycling,cycling,169,0.527,0,0
10/19/14,walking,walking,4344,5.148,6646,0
10/19/14,transport,transport,4704,44.742,0,0
