Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
7/13/14,walking,walking,2014-07-13T01:10:20+02:00,2014-07-13T01:11:01+02:00,41,0.028,55,0
7/13/14,walking,walking,2014-07-13T12:41:59+02:00,2014-07-13T12:42:59+02:00,60,0.030,60,0
7/13/14,walking,walking,2014-07-13T14:23:07+02:00,2014-07-13T14:23:39+02:00,32,0.016,28,0
7/13/14,walking,walking,2014-07-13T18:49:52+02:00,2014-07-13T18:50:35+02:00,43,0.033,66,0
7/13/14,walking,walking,2014-07-13T20:28:38+02:00,2014-07-13T20:28:53+02:00,15,0.010,20,0
7/13/14,walking,walking,2014-07-13T20:30:49+02:00,2014-07-13T20:34:13+02:00,204,0.216,322,0
7/13/14,walking,walking,2014-07-13T20:34:13+02:00,2014-07-13T20:36:28+02:00,135,0.131,175,0
7/13/14,walking,walking,2014-07-13T20:54:55+02:00,2014-07-13T20:57:29+02:00,154,0.207,269,0
7/13/14,walking,walking,2014-07-13T21:42:45+02:00,2014-07-13T21:43:00+02:00,15,0.010,20,0
7/13/14,walking,walking,2014-07-13T21:43:29+02:00,2014-07-13T22:03:26+02:00,1197,1.868,2296,0
7/13/14,walking,walking,2014-07-13T22:03:25+02:00,2014-07-13T22:07:51+02:00,266,0.312,416,0
7/13/14,walking,walking,2014-07-13T22:58:50+02:00,2014-07-13T23:03:06+02:00,256,0.380,431,0
7/13/14,walking,walking,2014-07-13T23:03:05+02:00,2014-07-13T23:06:29+02:00,204,0.202,269,0
7/13/14,walking,walking,2014-07-13T23:38:53+02:00,2014-07-13T23:46:06+02:00,433,0.469,687,0
7/13/14,walking,walking,2014-07-13T23:46:44+02:00,2014-07-13T23:50:15+02:00,211,0.262,349,0
