Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/9/14,walking,walking,2014-10-09T00:30:05+02:00,2014-10-09T00:33:26+02:00,201,0.213,284,0
10/9/14,walking,walking,2014-10-09T01:00:37+02:00,2014-10-09T01:02:27+02:00,110,0.074,148,0
10/9/14,walking,walking,2014-10-09T08:25:18+02:00,2014-10-09T08:25:41+02:00,23,0.013,25,0
10/9/14,walking,walking,2014-10-09T08:31:23+02:00,2014-10-09T08:36:37+02:00,314,0.450,618,0
10/9/14,walking,walking,2014-10-09T08:36:52+02:00,2014-10-09T08:37:00+02:00,8,0.006,11,0
10/9/14,transport,transport,2014-10-09T08:45:33+02:00,2014-10-09T08:53:01+02:00,448,1.750,0,0
10/9/14,walking,walking,2014-10-09T08:53:02+02:00,2014-10-09T09:11:56+02:00,1134,1.650,1977,0
10/9/14,walking,walking,2014-10-09T09:12:08+02:00,2014-10-09T09:15:41+02:00,213,0.270,360,0
10/9/14,walking,walking,2014-10-09T09:43:00+02:00,2014-10-09T09:49:20+02:00,380,0.874,728,0
10/9/14,transport,transport,2014-10-09T09:49:20+02:00,2014-10-09T09:57:57+02:00,517,1.826,0,0
10/9/14,walking,walking,2014-10-09T09:57:57+02:00,2014-10-09T10:04:44+02:00,407,0.462,590,0
10/9/14,walking,walking,2014-10-09T10:05:21+02:00,2014-10-09T10:05:30+02:00,9,0.006,12,0
10/9/14,walking,walking,2014-10-09T11:01:47+02:00,2014-10-09T11:01:49+02:00,2,0.002,3,0
10/9/14,walking,walking,2014-10-09T12:45:09+02:00,2014-10-09T12:47:10+02:00,121,0.126,168,0
10/9/14,walking,walking,2014-10-09T13:21:51+02:00,2014-10-09T13:24:47+02:00,176,0.181,241,0
10/9/14,walking,walking,2014-10-09T13:29:59+02:00,2014-10-09T13:37:36+02:00,457,0.514,765,0
10/9/14,walking,walking,2014-10-09T13:37:36+02:00,2014-10-09T13:39:30+02:00,114,0.076,153,0
10/9/14,walking,walking,2014-10-09T13:52:28+02:00,2014-10-09T13:59:35+02:00,427,0.446,631,0
10/9/14,walking,walking,2014-10-09T13:59:35+02:00,2014-10-09T13:59:53+02:00,18,0.015,30,0
10/9/14,walking,walking,2014-10-09T14:00:15+02:00,2014-10-09T14:05:15+02:00,300,0.318,424,0
10/9/14,walking,walking,2014-10-09T15:12:28+02:00,2014-10-09T15:14:54+02:00,146,0.143,191,0
10/9/14,walking,walking,2014-10-09T16:19:57+02:00,2014-10-09T16:22:57+02:00,180,0.181,241,0
10/9/14,walking,walking,2014-10-09T17:14:12+02:00,2014-10-09T17:18:02+02:00,230,0.241,321,0
10/9/14,walking,walking,2014-10-09T18:41:28+02:00,2014-10-09T18:41:30+02:00,2,0.002,3,0
10/9/14,walking,walking,2014-10-09T19:10:40+02:00,2014-10-09T19:11:42+02:00,62,0.031,52,0
10/9/14,walking,walking,2014-10-09T20:01:27+02:00,2014-10-09T20:05:13+02:00,226,0.240,321,0
10/9/14,walking,walking,2014-10-09T21:42:18+02:00,2014-10-09T21:43:11+02:00,53,0.036,72,0
