Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
9/16/14,walking,walking,2014-09-16T00:27:34+02:00,2014-09-16T00:28:03+02:00,29,0.017,33,0
9/16/14,walking,walking,2014-09-16T08:33:57+02:00,2014-09-16T08:34:33+02:00,36,0.023,45,0
9/16/14,walking,walking,2014-09-16T08:58:56+02:00,2014-09-16T09:04:09+02:00,313,0.452,548,0
9/16/14,walking,walking,2014-09-16T09:04:09+02:00,2014-09-16T09:04:37+02:00,28,0.019,38,0
9/16/14,transport,transport,2014-09-16T09:08:27+02:00,2014-09-16T09:23:19+02:00,892,3.603,0,0
9/16/14,walking,walking,2014-09-16T09:23:19+02:00,2014-09-16T09:31:13+02:00,474,0.672,823,0
9/16/14,walking,walking,2014-09-16T12:10:22+02:00,2014-09-16T12:11:42+02:00,80,0.054,109,0
9/16/14,walking,walking,2014-09-16T17:12:29+02:00,2014-09-16T17:16:30+02:00,241,0.202,404,0
9/16/14,transport,transport,2014-09-16T17:16:30+02:00,2014-09-16T17:22:05+02:00,335,1.162,0,0
9/16/14,walking,walking,2014-09-16T20:36:11+02:00,2014-09-16T20:39:59+02:00,228,0.232,310,0
9/16/14,walking,walking,2014-09-16T21:00:25+02:00,2014-09-16T21:01:06+02:00,41,0.027,54,0
9/16/14,walking,walking,2014-09-16T22:03:05+02:00,2014-09-16T22:03:06+02:00,1,0.001,1,0
9/16/14,walking,walking,2014-09-16T22:03:07+02:00,2014-09-16T22:05:48+02:00,161,0.152,272,0
9/16/14,walking,walking,2014-09-16T22:05:58+02:00,2014-09-16T22:06:25+02:00,27,0.019,37,0
9/16/14,walking,walking,2014-09-16T23:01:03+02:00,2014-09-16T23:01:39+02:00,36,0.025,50,0
9/16/14,walking,walking,2014-09-16T23:35:51+02:00,2014-09-16T23:40:01+02:00,250,0.157,308,0
9/16/14,walking,walking,2014-09-16T23:40:01+02:00,2014-09-16T23:40:20+02:00,19,0.012,25,0
