Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
7/12/14,walking,walking,2014-07-12T08:57:33+02:00,2014-07-12T08:57:40+02:00,7,0.005,9,0
7/12/14,walking,walking,2014-07-12T09:28:05+02:00,2014-07-12T09:29:21+02:00,76,0.051,102,0
7/12/14,walking,walking,2014-07-12T09:31:35+02:00,2014-07-12T09:50:09+02:00,1114,1.525,2042,0
7/12/14,walking,walking,2014-07-12T09:52:07+02:00,2014-07-12T09:58:09+02:00,362,0.441,588,0
7/12/14,walking,walking,2014-07-12T10:00:00+02:00,2014-07-12T10:00:53+02:00,53,0.036,73,0
7/12/14,walking,walking,2014-07-12T11:28:27+02:00,2014-07-12T11:34:49+02:00,382,0.475,633,0
7/12/14,walking,walking,2014-07-12T12:51:47+02:00,2014-07-12T13:05:08+02:00,801,0.660,1295,0
7/12/14,walking,walking,2014-07-12T13:28:06+02:00,2014-07-12T13:38:54+02:00,648,0.524,1048,0
7/12/14,walking,walking,2014-07-12T13:39:33+02:00,2014-07-12T13:42:19+02:00,166,0.197,262,0
7/12/14,walking,walking,2014-07-12T14:53:57+02:00,2014-07-12T14:58:08+02:00,251,0.259,346,0
7/12/14,walking,walking,2014-07-12T15:00:00+02:00,2014-07-12T15:00:53+02:00,53,0.035,70,0
7/12/14,walking,walking,2014-07-12T15:20:55+02:00,2014-07-12T15:32:03+02:00,668,0.521,1042,0
7/12/14,transport,transport,2014-07-12T15:32:03+02:00,2014-07-12T15:38:31+02:00,388,1.536,0,0
7/12/14,walking,walking,2014-07-12T15:38:31+02:00,2014-07-12T15:43:16+02:00,285,0.232,464,0
7/12/14,walking,walking,2014-07-12T15:50:44+02:00,2014-07-12T15:51:03+02:00,19,0.013,25,0
7/12/14,walking,walking,2014-07-12T15:51:06+02:00,2014-07-12T15:53:51+02:00,165,0.205,271,0
7/12/14,walking,walking,2014-07-12T15:53:51+02:00,2014-07-12T15:54:16+02:00,25,0.020,40,0
7/12/14,walking,walking,2014-07-12T17:06:12+02:00,2014-07-12T17:06:42+02:00,30,0.015,20,0
7/12/14,walking,walking,2014-07-12T18:44:59+02:00,2014-07-12T18:45:29+02:00,30,0.015,20,0
7/12/14,walking,walking,2014-07-12T19:16:24+02:00,2014-07-12T19:16:41+02:00,17,0.012,23,0
7/12/14,walking,walking,2014-07-12T20:16:46+02:00,2014-07-12T20:16:48+02:00,2,0.001,2,0
