Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/30/14,walking,walking,2014-10-30T08:24:02+01:00,2014-10-30T08:31:18+01:00,436,0.625,833,0
10/30/14,walking,walking,2014-10-30T08:35:06+01:00,2014-10-30T08:36:50+01:00,104,0.170,178,0
10/30/14,transport,transport,2014-10-30T08:36:50+01:00,2014-10-30T08:39:30+01:00,160,0.475,0,0
10/30/14,walking,walking,2014-10-30T08:39:30+01:00,2014-10-30T08:46:27+01:00,417,0.746,795,0
10/30/14,walking,walking,2014-10-30T11:17:18+01:00,2014-10-30T11:20:18+01:00,180,0.203,270,0
10/30/14,walking,walking,2014-10-30T12:06:41+01:00,2014-10-30T12:07:52+01:00,71,0.047,94,0
10/30/14,walking,walking,2014-10-30T12:11:06+01:00,2014-10-30T12:19:15+01:00,489,0.758,838,0
10/30/14,walking,walking,2014-10-30T12:19:15+01:00,2014-10-30T12:22:27+01:00,192,0.230,307,0
10/30/14,transport,transport,2014-10-30T12:35:04+01:00,2014-10-30T12:37:49+01:00,165,0.869,0,0
10/30/14,walking,walking,2014-10-30T12:37:49+01:00,2014-10-30T12:41:21+01:00,212,0.385,320,0
10/30/14,walking,walking,2014-10-30T12:41:21+01:00,2014-10-30T12:42:20+01:00,59,0.044,89,0
10/30/14,walking,walking,2014-10-30T12:46:22+01:00,2014-10-30T12:50:52+01:00,270,0.268,372,0
10/30/14,walking,walking,2014-10-30T12:50:52+01:00,2014-10-30T12:51:28+01:00,36,0.024,47,0
10/30/14,walking,walking,2014-10-30T13:00:00+01:00,2014-10-30T13:00:07+01:00,7,0.005,10,0
10/30/14,walking,walking,2014-10-30T13:00:13+01:00,2014-10-30T13:05:59+01:00,346,0.511,579,0
10/30/14,walking,walking,2014-10-30T13:05:59+01:00,2014-10-30T13:06:15+01:00,16,0.011,21,0
10/30/14,walking,walking,2014-10-30T13:39:50+01:00,2014-10-30T13:43:42+01:00,232,0.241,367,0
10/30/14,walking,walking,2014-10-30T13:43:43+01:00,2014-10-30T13:44:13+01:00,30,0.022,44,0
10/30/14,walking,walking,2014-10-30T14:56:43+01:00,2014-10-30T14:59:43+01:00,180,0.292,341,0
10/30/14,walking,walking,2014-10-30T14:59:44+01:00,2014-10-30T15:00:00+01:00,16,0.013,26,0
10/30/14,walking,walking,2014-10-30T15:00:45+01:00,2014-10-30T15:02:23+01:00,98,0.067,133,0
10/30/14,transport,transport,2014-10-30T15:11:27+01:00,2014-10-30T15:19:40+01:00,493,2.137,0,0
10/30/14,walking,walking,2014-10-30T15:19:40+01:00,2014-10-30T15:23:16+01:00,216,0.224,394,0
10/30/14,walking,walking,2014-10-30T15:23:16+01:00,2014-10-30T15:23:28+01:00,12,0.008,16,0
10/30/14,walking,walking,2014-10-30T20:19:36+01:00,2014-10-30T20:19:37+01:00,1,0.001,1,0
10/30/14,walking,walking,2014-10-30T21:13:48+01:00,2014-10-30T21:17:25+01:00,217,0.120,234,0
10/30/14,transport,transport,2014-10-30T21:17:26+01:00,2014-10-30T21:24:25+01:00,419,0.989,0,0
10/30/14,walking,walking,2014-10-30T21:24:25+01:00,2014-10-30T21:31:29+01:00,424,0.446,356,0
10/30/14,walking,walking,2014-10-30T21:40:53+01:00,2014-10-30T21:41:53+01:00,60,0.040,81,0
10/30/14,walking,walking,2014-10-30T22:01:02+01:00,2014-10-30T22:01:53+01:00,51,0.030,60,0
