Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/31/14,walking,walking,2014-10-31T00:10:01+01:00,2014-10-31T00:10:31+01:00,30,0.015,30,0
10/31/14,walking,walking,2014-10-31T08:29:43+01:00,2014-10-31T08:34:30+01:00,287,0.361,515,0
10/31/14,walking,walking,2014-10-31T08:34:30+01:00,2014-10-31T08:34:49+01:00,19,0.017,34,0
10/31/14,transport,transport,2014-10-31T08:39:08+01:00,2014-10-31T08:54:41+01:00,933,3.464,0,0
10/31/14,walking,walking,2014-10-31T08:54:41+01:00,2014-10-31T08:58:07+01:00,206,0.363,351,0
10/31/14,walking,walking,2014-10-31T08:58:07+01:00,2014-10-31T08:58:15+01:00,8,0.005,11,0
10/31/14,walking,walking,2014-10-31T09:01:36+01:00,2014-10-31T09:01:42+01:00,6,0.004,8,0
10/31/14,walking,walking,2014-10-31T09:02:18+01:00,2014-10-31T09:07:15+01:00,297,0.432,492,0
10/31/14,walking,walking,2014-10-31T09:07:15+01:00,2014-10-31T09:07:47+01:00,32,0.023,46,0
10/31/14,walking,walking,2014-10-31T11:25:30+01:00,2014-10-31T11:26:30+01:00,60,0.030,55,0
10/31/14,walking,walking,2014-10-31T14:09:06+01:00,2014-10-31T14:09:38+01:00,32,0.017,33,0
10/31/14,walking,walking,2014-10-31T14:12:03+01:00,2014-10-31T14:17:11+01:00,308,0.288,336,0
10/31/14,transport,transport,2014-10-31T14:17:11+01:00,2014-10-31T14:28:49+01:00,698,2.858,0,0
10/31/14,walking,walking,2014-10-31T14:28:48+01:00,2014-10-31T14:31:54+01:00,186,0.247,294,0
10/31/14,walking,walking,2014-10-31T14:31:55+01:00,2014-10-31T14:32:06+01:00,11,0.007,14,0
10/31/14,walking,walking,2014-10-31T16:20:54+01:00,2014-10-31T16:27:14+01:00,380,0.456,608,0
10/31/14,transport,transport,2014-10-31T16:28:40+01:00,2014-10-31T16:31:55+01:00,195,1.173,0,0
10/31/14,walking,walking,2014-10-31T16:31:55+01:00,2014-10-31T16:37:35+01:00,340,0.573,477,0
10/31/14,walking,walking,2014-10-31T19:37:52+01:00,2014-10-31T19:39:22+01:00,90,0.060,120,0
10/31/14,walking,walking,2014-10-31T20:40:08+01:00,2014-10-31T20:40:38+01:00,30,0.015,30,0
10/31/14,walking,walking,2014-10-31T21:22:37+01:00,2014-10-31T21:23:07+01:00,30,0.025,50,0
10/31/14,walking,walking,2014-10-31T22:10:25+01:00,2014-10-31T22:10:55+01:00,30,0.015,30,0
10/31/14,walking,walking,2014-10-31T23:01:49+01:00,2014-10-31T23:04:13+01:00,144,0.151,202,0
