Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
8/9/14,walking,walking,2014-08-09T01:46:36+02:00,2014-08-09T01:47:11+02:00,35,0.034,68,0
8/9/14,walking,walking,2014-08-09T09:42:05+02:00,2014-08-09T09:42:44+02:00,39,0.026,52,0
8/9/14,walking,walking,2014-08-09T09:44:32+02:00,2014-08-09T09:50:11+02:00,339,0.363,548,0
8/9/14,walking,walking,2014-08-09T09:51:00+02:00,2014-08-09T09:51:17+02:00,17,0.012,23,0
8/9/14,walking,walking,2014-08-09T10:03:56+02:00,2014-08-09T10:04:29+02:00,33,0.022,44,0
8/9/14,walking,walking,2014-08-09T10:08:08+02:00,2014-08-09T10:11:21+02:00,193,0.392,327,0
8/9/14,walking,walking,2014-08-09T10:11:21+02:00,2014-08-09T10:15:08+02:00,227,0.272,363,0
8/9/14,walking,walking,2014-08-09T12:35:40+02:00,2014-08-09T12:38:27+02:00,167,0.184,245,0
8/9/14,walking,walking,2014-08-09T12:40:03+02:00,2014-08-09T12:47:47+02:00,464,0.457,799,0
8/9/14,walking,walking,2014-08-09T12:47:47+02:00,2014-08-09T12:47:59+02:00,12,0.008,16,0
8/9/14,walking,walking,2014-08-09T13:14:51+02:00,2014-08-09T13:15:08+02:00,17,0.011,22,0
8/9/14,walking,walking,2014-08-09T13:15:08+02:00,2014-08-09T13:27:20+02:00,732,0.621,1066,0
8/9/14,walking,walking,2014-08-09T13:27:20+02:00,2014-08-09T13:28:12+02:00,52,0.039,79,0
8/9/14,walking,walking,2014-08-09T15:28:13+02:00,2014-08-09T15:37:58+02:00,585,0.435,869,0
8/9/14,transport,transport,2014-08-09T15:37:57+02:00,2014-08-09T15:45:12+02:00,435,0.891,0,0
8/9/14,walking,walking,2014-08-09T15:45:12+02:00,2014-08-09T15:52:21+02:00,429,0.365,731,0
8/9/14,walking,walking,2014-08-09T15:52:21+02:00,2014-08-09T15:52:57+02:00,36,0.021,43,0
8/9/14,walking,walking,2014-08-09T18:38:50+02:00,2014-08-09T18:39:04+02:00,14,0.009,18,0
8/9/14,walking,walking,2014-08-09T19:46:51+02:00,2014-08-09T19:46:56+02:00,5,0.003,6,0
8/9/14,walking,walking,2014-08-09T23:33:39+02:00,2014-08-09T23:35:55+02:00,136,0.168,224,0
