Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
7/25/14,walking,walking,2014-07-25T00:44:10+02:00,2014-07-25T00:44:40+02:00,30,0.015,15,0
7/25/14,walking,walking,2014-07-25T07:20:00+02:00,2014-07-25T07:20:30+02:00,30,0.015,30,0
7/25/14,walking,walking,2014-07-25T08:23:05+02:00,2014-07-25T08:24:00+02:00,55,0.027,53,0
7/25/14,walking,walking,2014-07-25T08:32:18+02:00,2014-07-25T08:35:25+02:00,187,0.163,326,0
7/25/14,transport,transport,2014-07-25T08:35:25+02:00,2014-07-25T08:44:59+02:00,574,1.240,0,0
7/25/14,walking,walking,2014-07-25T08:44:58+02:00,2014-07-25T08:52:03+02:00,425,0.535,596,0
7/25/14,walking,walking,2014-07-25T08:52:03+02:00,2014-07-25T08:52:10+02:00,7,0.005,9,0
7/25/14,walking,walking,2014-07-25T09:10:51+02:00,2014-07-25T09:10:53+02:00,2,0.001,2,0
7/25/14,walking,walking,2014-07-25T11:06:03+02:00,2014-07-25T11:06:15+02:00,12,0.008,16,0
7/25/14,walking,walking,2014-07-25T11:06:15+02:00,2014-07-25T11:12:48+02:00,393,0.522,674,0
7/25/14,transport,transport,2014-07-25T11:12:48+02:00,2014-07-25T11:17:12+02:00,264,0.760,0,0
7/25/14,walking,walking,2014-07-25T11:17:12+02:00,2014-07-25T11:23:14+02:00,362,0.502,622,0
7/25/14,walking,walking,2014-07-25T11:23:15+02:00,2014-07-25T11:23:16+02:00,1,0.001,1,0
7/25/14,walking,walking,2014-07-25T12:33:22+02:00,2014-07-25T12:33:33+02:00,11,0.007,14,0
7/25/14,walking,walking,2014-07-25T17:04:26+02:00,2014-07-25T17:04:29+02:00,3,0.002,4,0
7/25/14,walking,walking,2014-07-25T17:04:56+02:00,2014-07-25T17:08:17+02:00,201,0.210,344,0
7/25/14,walking,walking,2014-07-25T17:08:16+02:00,2014-07-25T17:08:37+02:00,21,0.015,30,0
7/25/14,walking,walking,2014-07-25T18:42:31+02:00,2014-07-25T18:42:39+02:00,8,0.006,11,0
7/25/14,walking,walking,2014-07-25T18:47:43+02:00,2014-07-25T18:50:54+02:00,191,0.206,369,0
7/25/14,walking,walking,2014-07-25T18:50:54+02:00,2014-07-25T18:51:39+02:00,45,0.033,66,0
7/25/14,walking,walking,2014-07-25T20:05:29+02:00,2014-07-25T20:10:04+02:00,275,0.310,414,0
7/25/14,walking,walking,2014-07-25T20:42:57+02:00,2014-07-25T20:49:10+02:00,373,0.232,464,0
7/25/14,walking,walking,2014-07-25T20:49:10+02:00,2014-07-25T20:49:28+02:00,18,0.012,24,0
7/25/14,walking,walking,2014-07-25T21:08:50+02:00,2014-07-25T21:09:40+02:00,50,0.034,67,0
7/25/14,walking,walking,2014-07-25T22:20:44+02:00,2014-07-25T22:20:49+02:00,5,0.004,7,0
7/25/14,walking,walking,2014-07-25T23:26:17+02:00,2014-07-25T23:26:48+02:00,31,0.016,31,0
