Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
7/17/14,walking,walking,2014-07-17T00:28:59+02:00,2014-07-17T00:29:20+02:00,21,0.012,23,0
7/17/14,walking,walking,2014-07-17T11:00:28+02:00,2014-07-17T11:00:58+02:00,30,0.015,30,0
7/17/14,walking,walking,2014-07-17T12:51:34+02:00,2014-07-17T12:51:39+02:00,5,0.004,7,0
7/17/14,walking,walking,2014-07-17T13:21:36+02:00,2014-07-17T13:27:31+02:00,355,0.485,647,0
7/17/14,walking,walking,2014-07-17T13:40:55+02:00,2014-07-17T13:52:51+02:00,716,1.391,1161,0
7/17/14,walking,walking,2014-07-17T13:56:11+02:00,2014-07-17T13:58:50+02:00,159,0.223,298,0
7/17/14,walking,walking,2014-07-17T14:05:53+02:00,2014-07-17T14:09:31+02:00,218,0.255,340,0
7/17/14,walking,walking,2014-07-17T15:49:52+02:00,2014-07-17T15:53:20+02:00,208,0.253,337,0
7/17/14,walking,walking,2014-07-17T16:00:00+02:00,2014-07-17T16:00:54+02:00,54,0.044,88,0
7/17/14,walking,walking,2014-07-17T18:14:58+02:00,2014-07-17T18:21:09+02:00,371,0.466,622,0
7/17/14,walking,walking,2014-07-17T19:08:25+02:00,2014-07-17T19:14:07+02:00,342,0.402,536,0
7/17/14,walking,walking,2014-07-17T20:00:21+02:00,2014-07-17T20:02:00+02:00,99,0.084,167,0
7/17/14,walking,walking,2014-07-17T20:08:54+02:00,2014-07-17T20:20:35+02:00,701,0.464,928,0
7/17/14,walking,walking,2014-07-17T20:21:10+02:00,2014-07-17T20:22:16+02:00,66,0.058,117,0
7/17/14,walking,walking,2014-07-17T20:25:29+02:00,2014-07-17T20:31:39+02:00,370,0.778,648,0
7/17/14,walking,walking,2014-07-17T20:31:39+02:00,2014-07-17T20:31:42+02:00,3,0.002,3,0
7/17/14,walking,walking,2014-07-17T22:15:26+02:00,2014-07-17T22:15:31+02:00,5,0.003,6,0
