Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/22/14,walking,walking,2014-10-22T00:51:56+02:00,2014-10-22T00:52:21+02:00,25,0.012,25,0
10/22/14,walking,walking,2014-10-22T09:01:01+02:00,2014-10-22T09:01:13+02:00,12,0.008,16,0
10/22/14,walking,walking,2014-10-22T10:35:33+02:00,2014-10-22T10:35:52+02:00,19,0.013,25,0
10/22/14,walking,walking,2014-10-22T11:04:43+02:00,2014-10-22T11:12:28+02:00,465,0.540,720,0
10/22/14,walking,walking,2014-10-22T13:12:41+02:00,2014-10-22T13:15:56+02:00,195,0.198,264,0
10/22/14,walking,walking,2014-10-22T14:00:51+02:00,2014-10-22T14:15:24+02:00,873,0.895,1194,0
10/22/14,walking,walking,2014-10-22T15:11:34+02:00,2014-10-22T15:11:36+02:00,2,0.001,2,0
10/22/14,walking,walking,2014-10-22T19:02:11+02:00,2014-10-22T19:03:07+02:00,56,0.035,70,0
10/22/14,walking,walking,2014-10-22T19:18:13+02:00,2014-10-22T19:21:46+02:00,213,0.156,198,0
10/22/14,walking,walking,2014-10-22T19:21:56+02:00,2014-10-22T19:22:00+02:00,4,0.003,5,0
10/22/14,walking,walking,2014-10-22T20:12:56+02:00,2014-10-22T20:13:13+02:00,17,0.011,23,0
10/22/14,walking,walking,2014-10-22T20:26:42+02:00,2014-10-22T20:29:34+02:00,172,0.202,247,0
10/22/14,walking,walking,2014-10-22T20:29:34+02:00,2014-10-22T20:31:28+02:00,114,0.085,169,0
10/22/14,walking,walking,2014-10-22T21:00:33+02:00,2014-10-22T21:01:08+02:00,35,0.023,46,0
10/22/14,walking,walking,2014-10-22T21:03:58+02:00,2014-10-22T21:08:55+02:00,297,0.257,423,0
10/22/14,walking,walking,2014-10-22T21:08:55+02:00,2014-10-22T21:09:06+02:00,11,0.007,15,0
10/22/14,walking,walking,2014-10-22T23:14:20+02:00,2014-10-22T23:19:23+02:00,303,0.347,462,0
