Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/25/14,walking,walking,2014-10-25T00:00:12+02:00,2014-10-25T00:00:51+02:00,39,0.026,52,0
10/25/14,walking,walking,2014-10-25T10:02:19+02:00,2014-10-25T10:03:49+02:00,90,0.050,100,0
10/25/14,walking,walking,2014-10-25T11:00:00+02:00,2014-10-25T11:01:13+02:00,73,0.048,97,0
10/25/14,walking,walking,2014-10-25T11:12:11+02:00,2014-10-25T11:19:20+02:00,429,0.445,297,0
10/25/14,walking,walking,2014-10-25T11:19:53+02:00,2014-10-25T11:22:52+02:00,179,0.179,239,0
10/25/14,walking,walking,2014-10-25T11:42:51+02:00,2014-10-25T11:49:39+02:00,408,0.465,408,0
10/25/14,walking,walking,2014-10-25T11:49:57+02:00,2014-10-25T11:52:19+02:00,142,0.140,187,0
10/25/14,walking,walking,2014-10-25T12:00:11+02:00,2014-10-25T12:04:42+02:00,271,0.285,380,0
10/25/14,walking,walking,2014-10-25T13:08:06+02:00,2014-10-25T13:09:28+02:00,82,0.041,64,0
10/25/14,walking,walking,2014-10-25T14:34:51+02:00,2014-10-25T14:35:49+02:00,58,0.044,89,0
10/25/14,walking,walking,2014-10-25T14:38:24+02:00,2014-10-25T14:42:30+02:00,246,0.252,409,0
10/25/14,walking,walking,2014-10-25T14:42:30+02:00,2014-10-25T14:43:12+02:00,42,0.030,59,0
10/25/14,walking,walking,2014-10-25T15:13:34+02:00,2014-10-25T15:13:38+02:00,4,0.003,5,0
10/25/14,walking,walking,2014-10-25T15:28:42+02:00,2014-10-25T15:54:59+02:00,1577,2.523,2674,0
10/25/14,walking,walking,2014-10-25T15:54:59+02:00,2014-10-25T15:58:37+02:00,218,0.263,350,0
10/25/14,walking,walking,2014-10-25T16:00:00+02:00,2014-10-25T16:17:36+02:00,1056,1.154,1538,0
10/25/14,walking,walking,2014-10-25T16:38:51+02:00,2014-10-25T16:44:26+02:00,335,0.346,461,0
10/25/14,walking,walking,2014-10-25T16:54:20+02:00,2014-10-25T16:59:00+02:00,280,0.380,386,0
10/25/14,walking,walking,2014-10-25T16:59:00+02:00,2014-10-25T16:59:11+02:00,11,0.007,14,0
10/25/14,walking,walking,2014-10-25T17:00:11+02:00,2014-10-25T17:20:06+02:00,1195,1.308,1744,0
10/25/14,walking,walking,2014-10-25T17:52:04+02:00,2014-10-25T18:02:55+02:00,651,0.751,954,0
10/25/14,walking,walking,2014-10-25T18:02:58+02:00,2014-10-25T18:05:45+02:00,167,0.193,258,0
10/25/14,walking,walking,2014-10-25T18:20:10+02:00,2014-10-25T18:34:19+02:00,849,1.319,1469,0
10/25/14,walking,walking,2014-10-25T18:34:19+02:00,2014-10-25T18:35:10+02:00,51,0.036,73,0
10/25/14,walking,walking,2014-10-25T18:50:41+02:00,2014-10-25T19:02:13+02:00,692,1.011,1236,0
10/25/14,walking,walking,2014-10-25T19:02:13+02:00,2014-10-25T19:04:21+02:00,128,0.136,181,0
10/25/14,walking,walking,2014-10-25T20:01:22+02:00,2014-10-25T20:08:07+02:00,405,0.431,575,0
10/25/14,walking,walking,2014-10-25T21:12:33+02:00,2014-10-25T21:13:32+02:00,59,0.036,73,0
10/25/14,walking,walking,2014-10-25T22:14:08+02:00,2014-10-25T22:15:25+02:00,77,0.047,93,0
10/25/14,walking,walking,2014-10-25T23:11:50+02:00,2014-10-25T23:15:44+02:00,234,0.237,315,0
