Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/26/14,walking,walking,2014-10-26T09:07:45+01:00,2014-10-26T09:08:12+01:00,27,0.018,36,0
10/26/14,walking,walking,2014-10-26T10:28:30+01:00,2014-10-26T10:30:16+01:00,106,0.076,151,0
10/26/14,walking,walking,2014-10-26T12:09:42+01:00,2014-10-26T12:10:22+01:00,40,0.022,43,0
10/26/14,walking,walking,2014-10-26T13:14:56+01:00,2014-10-26T13:17:11+01:00,135,0.135,180,0
10/26/14,walking,walking,2014-10-26T14:00:27+01:00,2014-10-26T14:02:52+01:00,145,0.135,180,0
10/26/14,walking,walking,2014-10-26T18:57:52+01:00,2014-10-26T19:04:15+01:00,383,0.560,630,0
10/26/14,walking,walking,2014-10-26T19:07:23+01:00,2014-10-26T19:07:42+01:00,19,0.013,26,0
10/26/14,walking,walking,2014-10-26T19:07:43+01:00,2014-10-26T19:11:32+01:00,229,0.368,405,0
10/26/14,walking,walking,2014-10-26T19:11:31+01:00,2014-10-26T19:13:11+01:00,100,0.087,173,0
10/26/14,walking,walking,2014-10-26T20:33:23+01:00,2014-10-26T20:38:03+01:00,280,0.281,374,0
10/26/14,walking,walking,2014-10-26T21:00:47+01:00,2014-10-26T21:02:36+01:00,109,0.081,162,0
10/26/14,walking,walking,2014-10-26T22:10:46+01:00,2014-10-26T22:11:00+01:00,14,0.010,19,0
10/26/14,walking,walking,2014-10-26T23:57:55+01:00,2014-10-26T23:58:03+01:00,8,0.005,10,0
