Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
6/29/14,walking,walking,2014-06-29T13:51:27+02:00,2014-06-29T13:54:04+02:00,157,0.188,296,0
6/29/14,walking,walking,2014-06-29T13:54:04+02:00,2014-06-29T13:55:04+02:00,60,0.047,94,0
6/29/14,walking,walking,2014-06-29T17:53:38+02:00,2014-06-29T17:53:42+02:00,4,0.003,5,0
6/29/14,walking,walking,2014-06-29T20:28:21+02:00,2014-06-29T20:28:51+02:00,30,0.015,30,0
6/29/14,walking,walking,2014-06-29T20:33:14+02:00,2014-06-29T20:37:16+02:00,242,0.220,440,0
6/29/14,walking,walking,2014-06-29T20:37:16+02:00,2014-06-29T20:37:35+02:00,19,0.013,26,0
6/29/14,walking,walking,2014-06-29T23:06:28+02:00,2014-06-29T23:07:38+02:00,70,0.037,73,0
