Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
7/30/14,walking,walking,2014-07-30T00:00:00+02:00,2014-07-30T00:00:17+02:00,17,0.017,33,0
7/30/14,walking,walking,2014-07-30T00:00:17+02:00,2014-07-30T00:01:59+02:00,102,0.084,167,0
7/30/14,walking,walking,2014-07-30T01:35:49+02:00,2014-07-30T01:36:26+02:00,37,0.018,29,0
7/30/14,walking,walking,2014-07-30T09:32:14+02:00,2014-07-30T09:36:40+02:00,266,0.361,478,0
7/30/14,transport,transport,2014-07-30T09:36:39+02:00,2014-07-30T09:42:01+02:00,322,0.692,0,0
7/30/14,walking,walking,2014-07-30T09:42:01+02:00,2014-07-30T09:53:05+02:00,664,0.869,976,0
7/30/14,walking,walking,2014-07-30T09:56:42+02:00,2014-07-30T09:56:44+02:00,2,0.002,3,0
7/30/14,walking,walking,2014-07-30T11:06:17+02:00,2014-07-30T11:09:45+02:00,208,0.227,303,0
7/30/14,walking,walking,2014-07-30T11:20:57+02:00,2014-07-30T11:25:09+02:00,252,0.402,335,0
7/30/14,walking,walking,2014-07-30T11:25:47+02:00,2014-07-30T11:26:27+02:00,40,0.030,59,0
7/30/14,walking,walking,2014-07-30T11:32:40+02:00,2014-07-30T11:34:50+02:00,130,0.188,234,0
7/30/14,walking,walking,2014-07-30T11:34:50+02:00,2014-07-30T11:35:34+02:00,44,0.025,51,0
7/30/14,walking,walking,2014-07-30T11:59:41+02:00,2014-07-30T12:10:10+02:00,629,0.837,1123,0
7/30/14,walking,walking,2014-07-30T12:10:14+02:00,2014-07-30T12:12:57+02:00,163,0.195,260,0
7/30/14,transport,transport,2014-07-30T12:25:05+02:00,2014-07-30T12:31:38+02:00,393,1.580,0,0
7/30/14,walking,walking,2014-07-30T12:31:39+02:00,2014-07-30T12:36:44+02:00,305,0.224,448,0
7/30/14,walking,walking,2014-07-30T12:38:48+02:00,2014-07-30T12:46:45+02:00,477,0.494,658,0
7/30/14,walking,walking,2014-07-30T13:00:00+02:00,2014-07-30T13:00:33+02:00,33,0.022,43,0
7/30/14,transport,transport,2014-07-30T13:07:27+02:00,2014-07-30T13:23:50+02:00,983,3.290,0,0
7/30/14,walking,walking,2014-07-30T13:23:50+02:00,2014-07-30T13:28:48+02:00,298,0.397,528,0
7/30/14,walking,walking,2014-07-30T13:28:49+02:00,2014-07-30T13:29:00+02:00,11,0.007,15,0
7/30/14,walking,walking,2014-07-30T17:25:27+02:00,2014-07-30T17:34:04+02:00,517,0.609,812,0
7/30/14,walking,walking,2014-07-30T20:07:34+02:00,2014-07-30T20:08:00+02:00,26,0.016,32,0
7/30/14,cycling,cycling,2014-07-30T20:08:38+02:00,2014-07-30T20:36:38+02:00,1680,5.729,0,0
7/30/14,walking,walking,2014-07-30T20:36:37+02:00,2014-07-30T20:38:47+02:00,130,0.141,187,0
7/30/14,walking,walking,2014-07-30T23:37:54+02:00,2014-07-30T23:38:24+02:00,30,0.015,30,0
