Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
9/6/14,Home,2014-09-06T00:00:00+02:00,2014-09-06T09:11:15+02:00,33075,49.8819996044,8.6702592175,Home,
9/6/14,Place in Universitäts- und Landesbibliothek,2014-09-06T09:26:26+02:00,2014-09-06T09:38:52+02:00,746,49.8765999558,8.6581556386,,
9/6/14,Place in Rüsselsheim,2014-09-06T10:21:59+02:00,2014-09-06T14:20:27+02:00,14308,49.9990207992,8.416703505,,
9/6/14,Home,2014-09-06T15:18:19+02:00,2014-09-06T19:14:24+02:00,14165,49.8819996044,8.6702592175,Home,
9/6/14,Place in Darmstadt,2014-09-06T19:14:56+02:00,2014-09-06T19:26:13+02:00,677,49.8853907879,8.6710590028,,
9/6/14,Home,2014-09-06T19:28:17+02:00,2014-09-06T21:01:13+02:00,5576,49.8819996044,8.6702592175,Home,
9/6/14,Place in Darmstadt,2014-09-06T21:32:55+02:00,2014-09-06T23:32:30+02:00,7175,49.8611646249,8.6718102524,,
9/6/14,Place in Darmstadt,2014-09-06T23:40:36+02:00,2014-09-07T00:00:00+02:00,1164,49.8604000358,8.6686615143,,
