Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
10/25/14,Home,2014-10-25T00:00:00+02:00,2014-10-25T11:12:11+02:00,40331,49.8819996044,8.6702592175,Home,
10/25/14,Place in Darmstadt,2014-10-25T11:19:20+02:00,2014-10-25T11:42:51+02:00,1411,49.8853907879,8.6710590028,,
10/25/14,Home,2014-10-25T11:49:39+02:00,2014-10-25T11:59:58+02:00,619,49.8819996044,8.6702592175,Home,
10/25/14,Volleyball field of Karlshof,2014-10-25T11:59:58+02:00,2014-10-25T14:38:24+02:00,9506,49.8826210232,8.6675185755,,
10/25/14,Home,2014-10-25T14:42:30+02:00,2014-10-25T15:28:42+02:00,2772,49.8819996044,8.6702592175,Home,
10/25/14,Place in Darmstadt,2014-10-25T15:54:59+02:00,2014-10-25T16:38:41+02:00,2622,49.8701663095,8.650944123,,
10/25/14,Place in Wilhelminenstraße,2014-10-25T16:38:41+02:00,2014-10-25T16:54:20+02:00,939,49.8708730029,8.6514451525,,
10/25/14,Place in Darmstadt,2014-10-25T16:59:00+02:00,2014-10-25T17:52:04+02:00,3184,49.8711907548,8.6547900049,,
10/25/14,Place in Darmstadt,2014-10-25T18:02:54+02:00,2014-10-25T18:20:10+02:00,1036,49.8731672846,8.6527506996,,
10/25/14,Place in Darmstadt,2014-10-25T18:34:19+02:00,2014-10-25T18:50:41+02:00,982,49.877971499,8.6612120618,,
10/25/14,Volleyball field of Karlshof,2014-10-25T19:02:13+02:00,2014-10-26T00:00:00+02:00,17867,49.8826210232,8.6675185755,,
