Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
9/7/14,Place in Darmstadt,2014-09-07T00:00:00+02:00,2014-09-07T02:08:23+02:00,7703,49.8604000358,8.6686615143,,
9/7/14,Home,2014-09-07T02:30:26+02:00,2014-09-07T21:00:47+02:00,66621,49.8819996044,8.6702592175,Home,
9/7/14,Place in Studentenwohnheim Karlshof,2014-09-07T21:03:17+02:00,2014-09-07T22:29:34+02:00,5177,49.8831093675,8.6697840805,,
9/7/14,Home,2014-09-07T22:29:34+02:00,2014-09-08T00:00:00+02:00,5426,49.8819996044,8.6702592175,Home,
