Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
9/5/14,Home,2014-09-05T00:00:00+02:00,2014-09-05T08:46:56+02:00,31616,49.8819996044,8.6702592175,Home,
9/5/14,KOM Lab,2014-09-05T09:02:50+02:00,2014-09-05T10:22:06+02:00,4756,49.8742715717,8.6605648722,Work,
9/5/14,Consetto,2014-09-05T10:48:45+02:00,2014-09-05T12:15:19+02:00,5194,49.8712952279,8.6249912643,Work,
9/5/14,Place in Evangelische Fachhochschule Darmstadt,2014-09-05T12:23:08+02:00,2014-09-05T12:45:47+02:00,1359,49.8739398551,8.6276221598,,
9/5/14,Consetto,2014-09-05T12:53:31+02:00,2014-09-05T15:51:12+02:00,10661,49.8712952279,8.6249912643,Work,
9/5/14,Place in Europaplatz,2014-09-05T15:56:53+02:00,2014-09-05T16:01:06+02:00,253,49.8725029818,8.6276204882,,
9/5/14,Home,2014-09-05T16:22:12+02:00,2014-09-06T00:00:00+02:00,27468,49.8819996044,8.6702592175,Home,
