Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
7/27/14,Place in Darmstadt,2014-07-27T00:00:00+02:00,2014-07-27T10:57:32+02:00,39452,49.8819681239,8.6703339401,,
7/27/14,Place in TU Darmstadt / S1,2014-07-27T11:17:49+02:00,2014-07-27T21:10:37+02:00,35568,49.876159775,8.6572254169,,
7/27/14,Place in Darmstadt,2014-07-27T21:30:16+02:00,2014-07-27T21:45:08+02:00,892,49.8819681239,8.6703339401,,
7/27/14,Place in Darmstadt,2014-07-27T21:48:01+02:00,2014-07-27T23:01:56+02:00,4435,49.8829100725,8.6682008619,,
7/27/14,Place in Darmstadt,2014-07-27T23:21:01+02:00,2014-07-27T23:42:40+02:00,1299,49.8829100725,8.6682008619,,
7/27/14,Place in Darmstadt,2014-07-27T23:45:42+02:00,2014-07-28T00:00:00+02:00,858,49.8819681239,8.6703339401,,
