Date,Type,Name,Start,End,Duration
9/8/14,place,Home,2014-09-08T00:00:00+02:00,2014-09-08T08:58:50+02:00,32330
9/8/14,move,walking,2014-09-08T08:58:50+02:00,2014-09-08T09:04:31+02:00,341
9/8/14,place,H Karlshof,2014-09-08T09:04:30+02:00,2014-09-08T09:29:36+02:00,1506
9/8/14,move,walking,2014-09-08T09:29:36+02:00,2014-09-08T09:32:01+02:00,145
9/8/14,move,cycling,2014-09-08T09:32:01+02:00,2014-09-08T09:48:10+02:00,969
9/8/14,place,Consetto,2014-09-08T09:48:10+02:00,2014-09-08T13:58:34+02:00,15024
9/8/14,move,cycling,2014-09-08T13:58:34+02:00,2014-09-08T14:18:16+02:00,1182
9/8/14,place,Home,2014-09-08T14:18:15+02:00,2014-09-08T18:02:02+02:00,13427
9/8/14,move,cycling,2014-09-08T18:02:02+02:00,2014-09-08T18:04:55+02:00,173
9/8/14,place,Place in Bürgerpark Nord,2014-09-08T18:04:55+02:00,2014-09-08T20:20:28+02:00,8133
9/8/14,move,transport,2014-09-08T20:20:28+02:00,2014-09-08T20:26:05+02:00,337
9/8/14,place,Home,2014-09-08T20:26:05+02:00,2014-09-09T00:00:00+02:00,12835
9/9/14,place,Home,2014-09-09T00:00:00+02:00,2014-09-09T08:27:07+02:00,30427
9/9/14,move,walking,2014-09-09T08:27:07+02:00,2014-09-09T08:34:37+02:00,450
9/9/14,move,transport,2014-09-09T08:34:37+02:00,2014-09-09T08:49:14+02:00,877
9/9/14,place,Place in Luisenplatz,2014-09-09T08:49:14+02:00,2014-09-09T08:58:12+02:00,538
9/9/14,move,walking,2014-09-09T08:58:12+02:00,2014-09-09T09:07:20+02:00,548
9/9/14,place,Consetto,2014-09-09T09:07:20+02:00,2014-09-09T17:15:06+02:00,29266
9/9/14,move,walking,2014-09-09T17:15:06+02:00,2014-09-09T17:24:52+02:00,586
9/9/14,move,transport,2014-09-09T17:24:53+02:00,2014-09-09T17:35:02+02:00,609
9/9/14,move,walking,2014-09-09T17:35:01+02:00,2014-09-09T17:41:43+02:00,402
9/9/14,move,transport,2014-09-09T17:41:44+02:00,2014-09-09T18:03:12+02:00,1288
9/9/14,move,walking,2014-09-09T18:03:11+02:00,2014-09-09T18:09:21+02:00,370
9/9/14,place,Place in Darmstadt,2014-09-09T18:09:22+02:00,2014-09-09T18:54:17+02:00,2695
9/9/14,move,walking,2014-09-09T18:54:17+02:00,2014-09-09T18:57:29+02:00,192
9/9/14,place,Home,2014-09-09T18:57:29+02:00,2014-09-10T00:00:00+02:00,18151
9/10/14,place,Home,2014-09-10T00:00:00+02:00,2014-09-10T12:24:23+02:00,44663
9/10/14,place,Home,2014-09-10T14:10:19+02:00,2014-09-10T17:17:45+02:00,11246
9/10/14,move,walking,2014-09-10T17:17:45+02:00,2014-09-10T17:23:18+02:00,333
9/10/14,move,transport,2014-09-10T17:23:18+02:00,2014-09-10T17:35:08+02:00,710
9/10/14,move,walking,2014-09-10T17:35:08+02:00,2014-09-10T17:37:59+02:00,171
9/10/14,place,Place in Darmstadt,2014-09-10T17:37:59+02:00,2014-09-10T18:12:30+02:00,2071
9/10/14,move,walking,2014-09-10T18:12:30+02:00,2014-09-10T18:16:59+02:00,269
9/10/14,place,Place in Darmstadt,2014-09-10T18:16:59+02:00,2014-09-10T18:37:17+02:00,1218
9/10/14,move,transport,2014-09-10T18:37:17+02:00,2014-09-10T18:41:43+02:00,266
9/10/14,move,walking,2014-09-10T18:41:43+02:00,2014-09-10T18:47:28+02:00,345
9/10/14,place,Home,2014-09-10T18:47:28+02:00,2014-09-11T00:00:00+02:00,18752
9/11/14,place,Home,2014-09-11T00:00:00+02:00,2014-09-11T08:30:54+02:00,30654
9/11/14,move,walking,2014-09-11T08:30:54+02:00,2014-09-11T08:35:39+02:00,285
9/11/14,move,transport,2014-09-11T08:35:38+02:00,2014-09-11T08:54:44+02:00,1146
9/11/14,move,walking,2014-09-11T08:54:45+02:00,2014-09-11T09:03:14+02:00,509
9/11/14,place,Consetto,2014-09-11T09:03:14+02:00,2014-09-11T17:48:45+02:00,31531
9/11/14,move,walking,2014-09-11T17:48:45+02:00,2014-09-11T17:57:19+02:00,514
9/11/14,move,transport,2014-09-11T17:57:19+02:00,2014-09-11T18:02:45+02:00,326
9/11/14,move,walking,2014-09-11T18:02:45+02:00,2014-09-11T18:04:58+02:00,133
9/11/14,place,Place in Darmstadt,2014-09-11T18:04:58+02:00,2014-09-11T18:12:56+02:00,478
9/11/14,move,walking,2014-09-11T18:12:57+02:00,2014-09-11T18:17:18+02:00,261
9/11/14,place,Place in Boulevard,2014-09-11T18:17:17+02:00,2014-09-11T18:34:53+02:00,1056
9/11/14,move,walking,2014-09-11T18:34:53+02:00,2014-09-11T18:38:42+02:00,229
9/11/14,place,Place in Darmstadt,2014-09-11T18:38:42+02:00,2014-09-11T19:04:01+02:00,1519
9/11/14,move,walking,2014-09-11T19:04:01+02:00,2014-09-11T19:06:38+02:00,157
9/11/14,move,transport,2014-09-11T19:06:38+02:00,2014-09-11T19:17:41+02:00,663
9/11/14,move,walking,2014-09-11T19:17:41+02:00,2014-09-11T19:22:54+02:00,313
9/11/14,place,Home,2014-09-11T19:22:54+02:00,2014-09-12T00:00:00+02:00,16626
