Date,Type,Name,Start,End,Duration
10/29/14,place,Place in Darmstadt,2014-10-29T19:10:59+01:00,2014-10-30T00:00:00+01:00,17341
10/30/14,place,Place in Darmstadt,2014-10-30T00:00:00+01:00,2014-10-30T08:35:06+01:00,30906
10/30/14,move,walking,2014-10-30T08:35:06+01:00,2014-10-30T08:36:50+01:00,104
10/30/14,move,transport,2014-10-30T08:36:50+01:00,2014-10-30T08:39:30+01:00,160
10/30/14,move,walking,2014-10-30T08:39:30+01:00,2014-10-30T08:46:27+01:00,417
10/30/14,place,Place in TU Darmstadt / S2,2014-10-30T08:46:27+01:00,2014-10-30T12:11:06+01:00,12279
10/30/14,move,walking,2014-10-30T12:11:06+01:00,2014-10-30T12:19:15+01:00,489
10/30/14,place,Place in Luisenplatz,2014-10-30T12:19:15+01:00,2014-10-30T12:35:04+01:00,949
10/30/14,move,transport,2014-10-30T12:35:04+01:00,2014-10-30T12:37:49+01:00,165
10/30/14,move,walking,2014-10-30T12:37:49+01:00,2014-10-30T12:41:21+01:00,212
10/30/14,place,Place in Darmstadt,2014-10-30T12:41:21+01:00,2014-10-30T12:46:22+01:00,301
10/30/14,move,walking,2014-10-30T12:46:22+01:00,2014-10-30T12:50:52+01:00,270
10/30/14,place,Place in Darmstadt,2014-10-30T12:50:52+01:00,2014-10-30T13:00:13+01:00,561
10/30/14,move,walking,2014-10-30T13:00:13+01:00,2014-10-30T13:05:59+01:00,346
10/30/14,place,Place in Darmstadt,2014-10-30T13:05:59+01:00,2014-10-30T13:39:50+01:00,2031
10/30/14,move,walking,2014-10-30T13:39:50+01:00,2014-10-30T13:43:42+01:00,232
10/30/14,place,Place in Darmstadt,2014-10-30T13:43:43+01:00,2014-10-30T14:56:43+01:00,4380
10/30/14,move,walking,2014-10-30T14:56:43+01:00,2014-10-30T14:59:43+01:00,180
10/30/14,place,Place in Darmstadt,2014-10-30T14:59:44+01:00,2014-10-30T15:11:27+01:00,703
10/30/14,move,transport,2014-10-30T15:11:27+01:00,2014-10-30T15:19:40+01:00,493
10/30/14,move,walking,2014-10-30T15:19:40+01:00,2014-10-30T15:23:16+01:00,216
10/30/14,place,KOM Lab,2014-10-30T15:23:16+01:00,2014-10-30T20:56:01+01:00,19965
10/30/14,place,KOM Lab,2014-10-30T21:06:39+01:00,2014-10-30T21:13:48+01:00,429
10/30/14,move,walking,2014-10-30T21:13:48+01:00,2014-10-30T21:17:25+01:00,217
10/30/14,move,transport,2014-10-30T21:17:26+01:00,2014-10-30T21:24:25+01:00,419
10/30/14,move,walking,2014-10-30T21:24:25+01:00,2014-10-30T21:31:29+01:00,424
10/30/14,place,Home,2014-10-30T21:31:29+01:00,2014-10-31T00:00:00+01:00,8911
10/31/14,place,Home,2014-10-31T00:00:00+01:00,2014-10-31T08:29:43+01:00,30583
10/31/14,move,walking,2014-10-31T08:29:43+01:00,2014-10-31T08:34:30+01:00,287
10/31/14,place,H Karlshof,2014-10-31T08:34:30+01:00,2014-10-31T08:39:08+01:00,278
10/31/14,move,transport,2014-10-31T08:39:08+01:00,2014-10-31T08:54:41+01:00,933
10/31/14,move,walking,2014-10-31T08:54:41+01:00,2014-10-31T08:58:07+01:00,206
10/31/14,place,Place in Darmstadt,2014-10-31T08:58:07+01:00,2014-10-31T09:02:18+01:00,251
10/31/14,move,walking,2014-10-31T09:02:18+01:00,2014-10-31T09:07:15+01:00,297
10/31/14,place,Consetto,2014-10-31T09:07:15+01:00,2014-10-31T14:12:03+01:00,18288
10/31/14,move,walking,2014-10-31T14:12:03+01:00,2014-10-31T14:17:11+01:00,308
10/31/14,move,transport,2014-10-31T14:17:11+01:00,2014-10-31T14:28:49+01:00,698
10/31/14,move,walking,2014-10-31T14:28:48+01:00,2014-10-31T14:31:54+01:00,186
10/31/14,place,KOM Lab,2014-10-31T14:31:55+01:00,2014-10-31T16:28:40+01:00,7005
10/31/14,move,transport,2014-10-31T16:28:40+01:00,2014-10-31T16:31:55+01:00,195
10/31/14,move,walking,2014-10-31T16:31:55+01:00,2014-10-31T16:37:35+01:00,340
10/31/14,place,Volleyball field of Karlshof,2014-10-31T16:37:35+01:00,2014-11-01T00:00:00+01:00,26545
11/1/14,place,Volleyball field of Karlshof,2014-11-01T00:00:00+01:00,2014-11-01T10:26:34+01:00,37594
11/1/14,move,walking,2014-11-01T10:26:34+01:00,2014-11-01T10:29:45+01:00,191
11/1/14,place,Place in Studentenwohnheim Karlshof,2014-11-01T10:29:45+01:00,2014-11-01T16:34:58+01:00,21913
11/1/14,place,Home,2014-11-01T16:34:58+01:00,2014-11-02T00:00:00+01:00,26702
11/2/14,place,Home,2014-11-02T00:00:00+01:00,2014-11-03T00:00:00+01:00,86400
