Date,Type,Name,Start,End,Duration
9/15/14,place,Home,2014-09-15T00:00:00+02:00,2014-09-15T12:39:16+02:00,45556
9/15/14,move,cycling,2014-09-15T12:39:16+02:00,2014-09-15T12:41:57+02:00,161
9/15/14,place,Place in Darmstadt,2014-09-15T12:41:57+02:00,2014-09-15T12:52:17+02:00,620
9/15/14,move,cycling,2014-09-15T12:52:17+02:00,2014-09-15T12:55:29+02:00,192
9/15/14,place,Home,2014-09-15T12:55:30+02:00,2014-09-15T17:36:50+02:00,16880
9/15/14,move,walking,2014-09-15T17:36:50+02:00,2014-09-15T17:39:29+02:00,159
9/15/14,place,Home,2014-09-15T17:39:29+02:00,2014-09-16T00:00:00+02:00,22831
9/16/14,place,Home,2014-09-16T00:00:00+02:00,2014-09-16T08:58:56+02:00,32336
9/16/14,move,walking,2014-09-16T08:58:56+02:00,2014-09-16T09:04:09+02:00,313
9/16/14,place,H Karlshof,2014-09-16T09:04:09+02:00,2014-09-16T09:08:27+02:00,258
9/16/14,move,transport,2014-09-16T09:08:27+02:00,2014-09-16T09:23:19+02:00,892
9/16/14,move,walking,2014-09-16T09:23:19+02:00,2014-09-16T09:31:13+02:00,474
9/16/14,place,Consetto,2014-09-16T09:31:14+02:00,2014-09-16T17:12:29+02:00,27675
9/16/14,move,walking,2014-09-16T17:12:29+02:00,2014-09-16T17:16:30+02:00,241
9/16/14,move,transport,2014-09-16T17:16:30+02:00,2014-09-16T17:22:05+02:00,335
9/16/14,place,Place in Darmstadt,2014-09-16T17:22:04+02:00,2014-09-16T17:22:35+02:00,31
9/16/14,place,Home,2014-09-16T20:36:09+02:00,2014-09-16T22:03:07+02:00,5218
9/16/14,move,walking,2014-09-16T22:03:07+02:00,2014-09-16T22:05:48+02:00,161
9/16/14,place,Place in Studentenwohnheim Karlshof,2014-09-16T22:05:48+02:00,2014-09-16T23:35:51+02:00,5403
9/16/14,move,walking,2014-09-16T23:35:51+02:00,2014-09-16T23:40:01+02:00,250
9/16/14,place,Home,2014-09-16T23:40:01+02:00,2014-09-17T00:00:00+02:00,1199
9/17/14,place,Home,2014-09-17T00:00:00+02:00,2014-09-17T21:16:26+02:00,76586
9/17/14,move,walking,2014-09-17T21:16:26+02:00,2014-09-17T21:21:04+02:00,278
9/17/14,place,Place in Darmstadt,2014-09-17T21:21:04+02:00,2014-09-17T23:18:14+02:00,7030
9/17/14,move,walking,2014-09-17T23:18:14+02:00,2014-09-17T23:22:26+02:00,252
9/17/14,place,Home,2014-09-17T23:22:26+02:00,2014-09-18T00:00:00+02:00,2254
9/18/14,place,Home,2014-09-18T00:00:00+02:00,2014-09-18T17:21:25+02:00,62485
9/18/14,move,walking,2014-09-18T17:21:25+02:00,2014-09-18T17:25:34+02:00,249
9/18/14,place,H Karlshof,2014-09-18T17:25:34+02:00,2014-09-18T17:40:24+02:00,890
9/18/14,move,transport,2014-09-18T17:40:24+02:00,2014-09-18T17:47:29+02:00,425
9/18/14,place,Place in Luisencenter,2014-09-18T17:47:28+02:00,2014-09-18T18:40:15+02:00,3167
9/18/14,move,walking,2014-09-18T18:40:15+02:00,2014-09-18T18:46:19+02:00,364
9/18/14,place,Place in Darmstadt,2014-09-18T18:46:19+02:00,2014-09-18T19:27:23+02:00,2464
9/18/14,move,walking,2014-09-18T19:27:23+02:00,2014-09-18T19:31:05+02:00,222
9/18/14,place,Place in Wilhelminenstraße,2014-09-18T19:31:05+02:00,2014-09-18T20:00:26+02:00,1761
9/18/14,move,walking,2014-09-18T20:00:26+02:00,2014-09-18T20:09:06+02:00,520
9/18/14,place,Place in Darmstadt,2014-09-18T20:09:06+02:00,2014-09-18T20:20:08+02:00,662
9/18/14,move,transport,2014-09-18T20:20:08+02:00,2014-09-18T20:21:46+02:00,98
9/18/14,move,walking,2014-09-18T20:21:46+02:00,2014-09-18T20:23:48+02:00,122
9/18/14,place,Place in Darmstadt,2014-09-18T20:23:48+02:00,2014-09-18T20:37:38+02:00,830
9/18/14,move,walking,2014-09-18T20:37:38+02:00,2014-09-18T20:41:27+02:00,229
9/18/14,place,Place in Studentenwohnheim Karlshof,2014-09-18T20:41:27+02:00,2014-09-18T22:34:45+02:00,6798
9/18/14,move,walking,2014-09-18T22:34:45+02:00,2014-09-18T22:39:00+02:00,255
9/18/14,place,Place in Studentenwohnheim Karlshof,2014-09-18T22:39:00+02:00,2014-09-18T23:10:03+02:00,1863
9/18/14,move,walking,2014-09-18T23:10:03+02:00,2014-09-18T23:15:49+02:00,346
9/18/14,place,Home,2014-09-18T23:15:48+02:00,2014-09-19T00:00:00+02:00,2652
9/19/14,place,Home,2014-09-19T00:00:00+02:00,2014-09-20T00:00:00+02:00,86400
9/20/14,place,Home,2014-09-20T00:00:00+02:00,2014-09-20T13:26:50+02:00,48410
9/20/14,move,walking,2014-09-20T13:26:50+02:00,2014-09-20T13:40:19+02:00,809
9/20/14,place,Place in Darmstadt,2014-09-20T13:40:19+02:00,2014-09-20T13:43:40+02:00,201
9/20/14,move,walking,2014-09-20T13:43:40+02:00,2014-09-20T13:50:23+02:00,403
9/20/14,place,Home,2014-09-20T13:50:23+02:00,2014-09-20T18:42:49+02:00,17546
9/20/14,move,cycling,2014-09-20T18:42:49+02:00,2014-09-20T18:56:38+02:00,829
9/20/14,place,Place in Darmstadt,2014-09-20T18:56:38+02:00,2014-09-20T18:59:21+02:00,163
9/20/14,place,Place in Darmstadt,2014-09-20T19:01:24+02:00,2014-09-20T19:03:46+02:00,142
9/20/14,move,cycling,2014-09-20T19:03:46+02:00,2014-09-20T19:17:56+02:00,850
9/20/14,place,Home,2014-09-20T19:17:56+02:00,2014-09-21T00:00:00+02:00,16924
9/21/14,place,Home,2014-09-21T00:00:00+02:00,2014-09-22T00:00:00+02:00,86400
