Date,Type,Name,Start,End,Duration
7/7/14,place,Place in Darmstadt,2014-07-07T00:00:00+02:00,2014-07-07T09:22:28+02:00,33748
7/7/14,move,walking,2014-07-07T09:22:28+02:00,2014-07-07T09:28:41+02:00,373
7/7/14,place,Place in Darmstadt,2014-07-07T09:28:41+02:00,2014-07-07T09:43:49+02:00,908
7/7/14,move,walking,2014-07-07T09:43:49+02:00,2014-07-07T09:52:16+02:00,507
7/7/14,place,KOM Lab,2014-07-07T09:52:16+02:00,2014-07-07T09:55:35+02:00,199
7/7/14,move,walking,2014-07-07T09:55:35+02:00,2014-07-07T10:05:22+02:00,587
7/7/14,place,Place in TU Darmstadt / S1,2014-07-07T10:05:22+02:00,2014-07-07T11:26:19+02:00,4857
7/7/14,move,walking,2014-07-07T11:26:19+02:00,2014-07-07T11:37:38+02:00,679
7/7/14,place,Place in TU Darmstadt,2014-07-07T11:37:38+02:00,2014-07-07T12:39:05+02:00,3687
7/7/14,move,walking,2014-07-07T12:39:05+02:00,2014-07-07T13:09:12+02:00,1807
7/7/14,place,Place in Darmstadt,2014-07-07T13:09:12+02:00,2014-07-07T22:33:17+02:00,33845
7/7/14,move,walking,2014-07-07T22:33:17+02:00,2014-07-07T22:55:50+02:00,1353
7/7/14,place,Place in Friedensplatz,2014-07-07T22:55:49+02:00,2014-07-07T23:13:27+02:00,1058
7/7/14,place,Place in Darmstadt,2014-07-07T23:13:27+02:00,2014-07-07T23:31:54+02:00,1107
7/7/14,move,walking,2014-07-07T23:31:54+02:00,2014-07-07T23:43:08+02:00,674
7/7/14,place,Place in Darmstadt,2014-07-07T23:43:08+02:00,2014-07-07T23:50:41+02:00,453
7/7/14,move,walking,2014-07-07T23:50:41+02:00,2014-07-07T23:59:59+02:00,558
7/8/14,move,walking,2014-07-08T00:00:00+02:00,2014-07-08T00:07:31+02:00,451
7/8/14,place,Place in Luisencenter,2014-07-08T00:07:31+02:00,2014-07-08T00:10:58+02:00,207
7/8/14,move,walking,2014-07-08T00:10:58+02:00,2014-07-08T00:14:37+02:00,219
7/8/14,move,transport,2014-07-08T00:14:37+02:00,2014-07-08T00:23:36+02:00,539
7/8/14,move,walking,2014-07-08T00:23:35+02:00,2014-07-08T00:35:20+02:00,705
7/8/14,place,Place in Darmstadt,2014-07-08T00:35:21+02:00,2014-07-08T08:28:13+02:00,28372
7/8/14,move,walking,2014-07-08T08:28:13+02:00,2014-07-08T08:34:14+02:00,361
7/8/14,place,Place in Darmstadt,2014-07-08T08:34:14+02:00,2014-07-08T08:40:18+02:00,364
7/8/14,move,transport,2014-07-08T08:40:18+02:00,2014-07-08T08:42:19+02:00,121
7/8/14,move,walking,2014-07-08T08:42:19+02:00,2014-07-08T08:49:59+02:00,460
7/8/14,place,Place in TU Darmstadt / S1,2014-07-08T08:49:58+02:00,2014-07-08T12:47:14+02:00,14236
7/8/14,move,walking,2014-07-08T12:47:14+02:00,2014-07-08T12:51:46+02:00,272
7/8/14,move,transport,2014-07-08T12:51:46+02:00,2014-07-08T12:58:44+02:00,418
7/8/14,move,walking,2014-07-08T12:58:44+02:00,2014-07-08T13:04:21+02:00,337
7/8/14,place,Place in Darmstadt,2014-07-08T13:04:20+02:00,2014-07-08T19:32:27+02:00,23287
7/8/14,move,walking,2014-07-08T19:32:27+02:00,2014-07-08T19:36:34+02:00,247
7/8/14,place,Place in Darmstadt,2014-07-08T19:36:34+02:00,2014-07-08T19:41:11+02:00,277
7/8/14,move,walking,2014-07-08T19:41:11+02:00,2014-07-08T19:44:44+02:00,213
7/8/14,place,Place in Darmstadt,2014-07-08T19:44:45+02:00,2014-07-08T22:01:19+02:00,8194
7/8/14,move,walking,2014-07-08T22:01:19+02:00,2014-07-08T22:06:05+02:00,286
7/8/14,place,Place in Darmstadt,2014-07-08T22:06:05+02:00,2014-07-08T23:53:06+02:00,6421
7/8/14,move,walking,2014-07-08T23:53:06+02:00,2014-07-08T23:57:02+02:00,236
7/8/14,place,Place in Darmstadt,2014-07-08T23:57:02+02:00,2014-07-09T00:00:00+02:00,178
7/9/14,place,Place in Darmstadt,2014-07-09T00:00:00+02:00,2014-07-09T09:27:55+02:00,34075
7/9/14,move,walking,2014-07-09T09:27:55+02:00,2014-07-09T09:35:09+02:00,434
