Date,Type,Name,Start,End,Duration
8/27/14,place,Place in Darmstadt,2014-08-27T23:59:54+02:00,2014-08-28T00:00:00+02:00,6
8/28/14,place,Place in Darmstadt,2014-08-28T00:00:00+02:00,2014-08-28T08:43:57+02:00,31437
8/28/14,move,walking,2014-08-28T08:43:57+02:00,2014-08-28T08:51:14+02:00,437
8/28/14,move,transport,2014-08-28T08:51:15+02:00,2014-08-28T08:57:46+02:00,391
8/28/14,move,walking,2014-08-28T08:57:46+02:00,2014-08-28T09:03:12+02:00,326
8/28/14,place,KOM Lab,2014-08-28T09:03:12+02:00,2014-08-28T10:06:08+02:00,3776
8/28/14,move,walking,2014-08-28T10:06:08+02:00,2014-08-28T10:12:35+02:00,387
8/28/14,move,transport,2014-08-28T10:12:35+02:00,2014-08-28T10:22:40+02:00,605
8/28/14,move,walking,2014-08-28T10:22:40+02:00,2014-08-28T10:31:41+02:00,541
8/28/14,place,Consetto,2014-08-28T10:31:41+02:00,2014-08-28T13:30:42+02:00,10741
8/28/14,move,walking,2014-08-28T13:30:42+02:00,2014-08-28T13:40:44+02:00,602
8/28/14,move,transport,2014-08-28T13:40:44+02:00,2014-08-28T13:48:44+02:00,480
8/28/14,move,walking,2014-08-28T13:48:44+02:00,2014-08-28T13:56:00+02:00,436
8/28/14,place,Place in TU Darmstadt,2014-08-28T13:56:00+02:00,2014-08-28T14:44:09+02:00,2889
8/28/14,move,transport,2014-08-28T14:44:09+02:00,2014-08-28T14:48:03+02:00,234
8/28/14,move,walking,2014-08-28T14:48:03+02:00,2014-08-28T14:54:08+02:00,365
8/28/14,place,Place in Darmstadt,2014-08-28T14:54:08+02:00,2014-08-28T18:31:42+02:00,13054
8/28/14,move,cycling,2014-08-28T18:31:42+02:00,2014-08-28T18:53:46+02:00,1324
8/28/14,place,Place in Darmstadt,2014-08-28T18:53:46+02:00,2014-08-29T00:00:00+02:00,18374
8/29/14,place,Place in Darmstadt,2014-08-29T00:00:00+02:00,2014-08-29T00:03:37+02:00,217
8/29/14,move,walking,2014-08-29T00:03:37+02:00,2014-08-29T00:11:07+02:00,450
8/29/14,place,Place in Studentenwohnheim Karlshof,2014-08-29T00:11:07+02:00,2014-08-29T00:13:56+02:00,169
8/29/14,move,walking,2014-08-29T00:13:56+02:00,2014-08-29T00:19:13+02:00,317
8/29/14,place,Place in Darmstadt,2014-08-29T00:19:13+02:00,2014-08-29T10:31:24+02:00,36731
8/29/14,move,walking,2014-08-29T10:31:24+02:00,2014-08-29T10:35:59+02:00,275
8/29/14,place,H Karlshof,2014-08-29T10:35:59+02:00,2014-08-29T10:50:49+02:00,890
8/29/14,move,transport,2014-08-29T10:50:49+02:00,2014-08-29T10:56:57+02:00,368
8/29/14,move,walking,2014-08-29T10:56:56+02:00,2014-08-29T10:59:21+02:00,145
8/29/14,place,Place in Friedensplatz,2014-08-29T10:59:21+02:00,2014-08-29T12:05:19+02:00,3958
8/29/14,move,transport,2014-08-29T12:05:19+02:00,2014-08-29T12:09:27+02:00,248
8/29/14,move,walking,2014-08-29T12:09:27+02:00,2014-08-29T12:14:35+02:00,308
8/29/14,place,Place in Darmstadt,2014-08-29T12:14:35+02:00,2014-08-30T00:00:00+02:00,42325
8/30/14,place,Place in Darmstadt,2014-08-30T00:00:00+02:00,2014-08-30T10:12:37+02:00,36757
8/30/14,place,Home,2014-08-30T10:24:03+02:00,2014-08-31T00:00:00+02:00,48957
8/31/14,place,Home,2014-08-31T00:00:00+02:00,2014-08-31T19:31:34+02:00,70294
8/31/14,move,cycling,2014-08-31T19:31:34+02:00,2014-08-31T20:08:11+02:00,2197
8/31/14,place,Volleyball field of Karlshof,2014-08-31T20:08:11+02:00,2014-09-01T00:00:00+02:00,13909
