Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
9/1/14,walking,walking,2014-09-01T00:17:00+02:00,2014-09-01T00:18:00+02:00,60,0.030,50,0
9/1/14,walking,walking,2014-09-01T13:19:23+02:00,2014-09-01T13:19:49+02:00,26,0.018,35,0
9/1/14,walking,walking,2014-09-01T16:54:59+02:00,2014-09-01T16:57:08+02:00,129,0.151,201,0
9/1/14,transport,transport,2014-09-01T16:58:40+02:00,2014-09-01T17:00:29+02:00,109,0.371,0,0
9/1/14,cycling,cycling,2014-09-01T17:00:29+02:00,2014-09-01T17:03:21+02:00,172,0.708,0,0
9/1/14,walking,walking,2014-09-01T17:03:20+02:00,2014-09-01T17:05:33+02:00,133,0.131,175,0
9/1/14,walking,walking,2014-09-01T17:36:52+02:00,2014-09-01T17:53:44+02:00,1012,1.151,1707,0
9/1/14,walking,walking,2014-09-01T17:53:52+02:00,2014-09-01T17:54:11+02:00,19,0.012,25,0
9/1/14,walking,walking,2014-09-01T17:55:54+02:00,2014-09-01T17:58:03+02:00,129,0.222,197,0
9/1/14,walking,walking,2014-09-01T17:58:03+02:00,2014-09-01T17:58:21+02:00,18,0.013,26,0
9/1/14,walking,walking,2014-09-01T18:00:00+02:00,2014-09-01T18:11:03+02:00,663,0.765,1019,0
9/1/14,transport,transport,2014-09-01T18:50:23+02:00,2014-09-01T18:53:21+02:00,178,0.699,0,0
9/1/14,walking,walking,2014-09-01T18:53:56+02:00,2014-09-01T18:54:12+02:00,16,0.011,21,0
9/1/14,walking,walking,2014-09-01T19:58:27+02:00,2014-09-01T19:58:57+02:00,30,0.020,40,0
9/1/14,walking,walking,2014-09-01T20:00:00+02:00,2014-09-01T20:00:11+02:00,11,0.007,14,0
9/1/14,cycling,cycling,2014-09-01T20:00:49+02:00,2014-09-01T20:06:24+02:00,335,0.459,0,0
9/1/14,walking,walking,2014-09-01T20:06:32+02:00,2014-09-01T20:10:45+02:00,253,0.270,360,0
9/1/14,walking,walking,2014-09-01T21:00:33+02:00,2014-09-01T21:01:42+02:00,69,0.044,87,0
9/1/14,walking,walking,2014-09-01T21:13:21+02:00,2014-09-01T21:16:37+02:00,196,0.134,268,0
9/1/14,walking,walking,2014-09-01T21:16:37+02:00,2014-09-01T21:17:23+02:00,46,0.033,67,0
9/1/14,walking,walking,2014-09-01T22:00:08+02:00,2014-09-01T22:00:45+02:00,37,0.020,39,0
9/1/14,walking,walking,2014-09-01T23:06:25+02:00,2014-09-01T23:07:19+02:00,54,0.035,69,0
9/2/14,walking,walking,2014-09-02T00:00:24+02:00,2014-09-02T00:02:57+02:00,153,0.134,178,0
9/2/14,walking,walking,2014-09-02T01:01:51+02:00,2014-09-02T01:02:11+02:00,20,0.013,26,0
9/2/14,walking,walking,2014-09-02T01:02:29+02:00,2014-09-02T01:06:02+02:00,213,0.158,315,0
9/2/14,walking,walking,2014-09-02T01:06:18+02:00,2014-09-02T01:07:41+02:00,83,0.042,71,0
9/2/14,walking,walking,2014-09-02T08:42:04+02:00,2014-09-02T08:42:15+02:00,11,0.007,14,0
9/2/14,walking,walking,2014-09-02T08:42:57+02:00,2014-09-02T08:48:29+02:00,332,0.321,593,0
9/2/14,transport,transport,2014-09-02T08:48:29+02:00,2014-09-02T09:06:27+02:00,1078,3.270,0,0
9/2/14,walking,walking,2014-09-02T09:06:27+02:00,2014-09-02T09:14:55+02:00,508,0.997,858,0
9/2/14,walking,walking,2014-09-02T09:14:55+02:00,2014-09-02T09:15:17+02:00,22,0.018,36,0
9/2/14,walking,walking,2014-09-02T13:14:37+02:00,2014-09-02T13:14:39+02:00,2,0.002,3,0
9/2/14,walking,walking,2014-09-02T13:15:29+02:00,2014-09-02T13:23:12+02:00,463,0.765,854,0
9/2/14,walking,walking,2014-09-02T13:27:06+02:00,2014-09-02T13:27:18+02:00,12,0.008,16,0
9/2/14,transport,transport,2014-09-02T13:27:56+02:00,2014-09-02T13:46:02+02:00,1086,3.585,0,0
9/2/14,walking,walking,2014-09-02T13:46:02+02:00,2014-09-02T13:50:48+02:00,286,0.433,498,0
9/2/14,walking,walking,2014-09-02T13:50:48+02:00,2014-09-02T13:51:50+02:00,62,0.037,75,0
9/2/14,walking,walking,2014-09-02T14:41:36+02:00,2014-09-02T14:41:38+02:00,2,0.001,2,0
9/2/14,walking,walking,2014-09-02T16:32:37+02:00,2014-09-02T16:33:12+02:00,35,0.019,37,0
9/2/14,walking,walking,2014-09-02T20:13:57+02:00,2014-09-02T20:15:56+02:00,119,0.073,147,0
9/2/14,walking,walking,2014-09-02T21:00:09+02:00,2014-09-02T21:01:25+02:00,76,0.056,112,0
9/2/14,transport,transport,2014-09-02T21:01:28+02:00,2014-09-02T21:03:17+02:00,109,0.595,0,0
9/2/14,walking,walking,2014-09-02T21:03:17+02:00,2014-09-02T21:06:26+02:00,189,0.193,257,0
9/2/14,cycling,cycling,2014-09-02T21:15:14+02:00,2014-09-02T21:18:57+02:00,223,0.606,0,0
9/2/14,walking,walking,2014-09-02T21:18:57+02:00,2014-09-02T21:20:22+02:00,85,0.066,133,0
9/2/14,walking,walking,2014-09-02T21:28:15+02:00,2014-09-02T21:30:56+02:00,161,0.184,96,0
9/2/14,walking,walking,2014-09-02T21:30:56+02:00,2014-09-02T21:32:19+02:00,83,0.056,112,0
9/2/14,walking,walking,2014-09-02T23:25:21+02:00,2014-09-02T23:25:35+02:00,14,0.009,18,0
9/3/14,walking,walking,2014-09-03T00:00:06+02:00,2014-09-03T00:00:08+02:00,2,0.001,2,0
9/3/14,walking,walking,2014-09-03T07:54:06+02:00,2014-09-03T07:54:11+02:00,5,0.003,6,0
9/3/14,walking,walking,2014-09-03T08:04:48+02:00,2014-09-03T08:05:34+02:00,46,0.031,62,0
9/3/14,cycling,cycling,2014-09-03T08:09:54+02:00,2014-09-03T08:20:12+02:00,618,2.373,0,0
9/3/14,walking,walking,2014-09-03T08:20:16+02:00,2014-09-03T08:23:33+02:00,197,0.220,293,0
9/3/14,cycling,cycling,2014-09-03T08:55:19+02:00,2014-09-03T09:02:52+02:00,453,2.112,0,0
9/3/14,walking,walking,2014-09-03T09:02:51+02:00,2014-09-03T09:03:49+02:00,58,0.042,84,0
9/3/14,walking,walking,2014-09-03T11:51:15+02:00,2014-09-03T11:51:17+02:00,2,0.001,2,0
9/3/14,walking,walking,2014-09-03T13:04:50+02:00,2014-09-03T13:05:55+02:00,65,0.049,99,0
9/3/14,cycling,cycling,2014-09-03T13:09:33+02:00,2014-09-03T13:17:36+02:00,483,2.381,0,0
9/3/14,walking,walking,2014-09-03T13:17:52+02:00,2014-09-03T13:20:16+02:00,144,0.164,218,0
9/3/14,walking,walking,2014-09-03T14:00:20+02:00,2014-09-03T14:01:07+02:00,47,0.031,63,0
9/3/14,cycling,cycling,2014-09-03T14:01:56+02:00,2014-09-03T14:06:16+02:00,260,0.970,0,0
9/3/14,walking,walking,2014-09-03T14:15:25+02:00,2014-09-03T14:15:52+02:00,27,0.018,36,0
9/3/14,cycling,cycling,2014-09-03T14:16:29+02:00,2014-09-03T14:25:50+02:00,561,1.716,0,0
9/3/14,walking,walking,2014-09-03T14:25:56+02:00,2014-09-03T14:26:55+02:00,59,0.040,79,0
9/3/14,walking,walking,2014-09-03T16:10:22+02:00,2014-09-03T16:10:55+02:00,33,0.017,34,0
9/3/14,walking,walking,2014-09-03T19:39:23+02:00,2014-09-03T19:39:39+02:00,16,0.012,23,0
9/3/14,walking,walking,2014-09-03T20:38:11+02:00,2014-09-03T20:42:20+02:00,249,0.166,333,0
9/3/14,walking,walking,2014-09-03T20:42:20+02:00,2014-09-03T20:42:23+02:00,3,0.002,4,0
9/3/14,walking,walking,2014-09-03T21:27:45+02:00,2014-09-03T21:28:01+02:00,16,0.011,21,0
9/3/14,walking,walking,2014-09-03T22:04:32+02:00,2014-09-03T22:05:07+02:00,35,0.018,36,0
9/3/14,walking,walking,2014-09-03T23:00:13+02:00,2014-09-03T23:01:26+02:00,73,0.044,88,0
9/3/14,walking,walking,2014-09-03T23:59:22+02:00,2014-09-04T00:00:00+02:00,38,0.033,67,0
9/4/14,walking,walking,2014-09-04T00:00:00+02:00,2014-09-04T00:03:20+02:00,200,0.177,353,0
9/4/14,walking,walking,2014-09-04T00:03:27+02:00,2014-09-04T00:03:35+02:00,8,0.006,11,0
9/4/14,walking,walking,2014-09-04T01:53:40+02:00,2014-09-04T01:53:49+02:00,9,0.006,12,0
9/4/14,walking,walking,2014-09-04T02:07:20+02:00,2014-09-04T02:07:24+02:00,4,0.003,5,0
9/4/14,walking,walking,2014-09-04T08:40:39+02:00,2014-09-04T08:40:40+02:00,1,0.001,1,0
9/4/14,walking,walking,2014-09-04T09:01:59+02:00,2014-09-04T09:02:40+02:00,41,0.032,64,0
9/4/14,walking,walking,2014-09-04T10:04:31+02:00,2014-09-04T10:05:03+02:00,32,0.016,23,0
9/4/14,walking,walking,2014-09-04T11:03:05+02:00,2014-09-04T11:03:07+02:00,2,0.001,2,0
9/4/14,walking,walking,2014-09-04T12:32:11+02:00,2014-09-04T12:33:47+02:00,96,0.068,137,0
9/4/14,transport,transport,2014-09-04T12:35:15+02:00,2014-09-04T12:37:13+02:00,118,0.490,0,0
9/4/14,cycling,cycling,2014-09-04T12:37:13+02:00,2014-09-04T12:39:44+02:00,151,0.689,0,0
9/4/14,walking,walking,2014-09-04T12:39:43+02:00,2014-09-04T12:52:47+02:00,784,1.092,1375,0
9/4/14,walking,walking,2014-09-04T12:52:47+02:00,2014-09-04T12:53:49+02:00,62,0.051,101,0
9/4/14,walking,walking,2014-09-04T13:05:01+02:00,2014-09-04T13:05:12+02:00,11,0.007,15,0
9/4/14,walking,walking,2014-09-04T13:52:04+02:00,2014-09-04T14:14:59+02:00,1375,1.741,2603,0
9/4/14,walking,walking,2014-09-04T14:14:59+02:00,2014-09-04T14:17:07+02:00,128,0.128,171,0
9/4/14,walking,walking,2014-09-04T15:02:40+02:00,2014-09-04T15:02:52+02:00,12,0.008,16,0
9/4/14,walking,walking,2014-09-04T16:48:00+02:00,2014-09-04T16:52:43+02:00,283,0.356,475,0
9/4/14,walking,walking,2014-09-04T17:00:00+02:00,2014-09-04T17:03:03+02:00,183,0.262,350,0
9/4/14,walking,walking,2014-09-04T18:00:00+02:00,2014-09-04T18:01:19+02:00,79,0.067,134,0
9/4/14,walking,walking,2014-09-04T19:32:11+02:00,2014-09-04T19:38:16+02:00,365,0.479,639,0
9/4/14,walking,walking,2014-09-04T22:14:44+02:00,2014-09-04T22:14:57+02:00,13,0.009,17,0
9/4/14,walking,walking,2014-09-04T22:28:42+02:00,2014-09-04T22:28:44+02:00,2,0.002,3,0
9/4/14,walking,walking,2014-09-04T23:03:44+02:00,2014-09-04T23:04:37+02:00,53,0.036,72,0
9/5/14,walking,walking,2014-09-05T08:46:56+02:00,2014-09-05T08:51:32+02:00,276,0.268,535,0
9/5/14,transport,transport,2014-09-05T08:51:32+02:00,2014-09-05T08:58:11+02:00,399,1.078,0,0
9/5/14,walking,walking,2014-09-05T08:58:11+02:00,2014-09-05T09:02:50+02:00,279,0.429,512,0
9/5/14,walking,walking,2014-09-05T09:02:50+02:00,2014-09-05T09:03:38+02:00,48,0.032,64,0
9/5/14,walking,walking,2014-09-05T10:00:33+02:00,2014-09-05T10:00:41+02:00,8,0.006,11,0
9/5/14,walking,walking,2014-09-05T10:22:06+02:00,2014-09-05T10:33:42+02:00,696,0.857,1203,0
9/5/14,transport,transport,2014-09-05T10:33:42+02:00,2014-09-05T10:44:45+02:00,663,1.422,0,0
9/5/14,walking,walking,2014-09-05T10:44:44+02:00,2014-09-05T10:48:44+02:00,240,0.551,460,0
9/5/14,walking,walking,2014-09-05T10:48:45+02:00,2014-09-05T10:48:53+02:00,8,0.005,11,0
