Date,Type,Name,Start,End,Duration
7/13/14,place,Place in Darmstadt,2014-07-13T00:00:00+02:00,2014-07-13T20:30:49+02:00,73849
7/13/14,move,walking,2014-07-13T20:30:49+02:00,2014-07-13T20:34:13+02:00,204
7/13/14,place,Place in Darmstadt,2014-07-13T20:34:13+02:00,2014-07-13T20:54:55+02:00,1242
7/13/14,move,walking,2014-07-13T20:54:55+02:00,2014-07-13T20:57:29+02:00,154
7/13/14,place,Place in Darmstadt,2014-07-13T20:57:29+02:00,2014-07-13T21:43:29+02:00,2760
7/13/14,move,walking,2014-07-13T21:43:29+02:00,2014-07-13T22:03:26+02:00,1197
7/13/14,place,Place in Darmstadt,2014-07-13T22:03:25+02:00,2014-07-13T22:58:50+02:00,3325
7/13/14,move,walking,2014-07-13T22:58:50+02:00,2014-07-13T23:03:06+02:00,256
7/13/14,place,Place in Darmstadt,2014-07-13T23:03:05+02:00,2014-07-13T23:38:53+02:00,2148
7/13/14,move,walking,2014-07-13T23:38:53+02:00,2014-07-13T23:46:06+02:00,433
7/13/14,place,Place in Darmstadt,2014-07-13T23:46:07+02:00,2014-07-14T00:00:00+02:00,833
