Date,Type,Name,Start,End,Duration
8/4/14,place,Place in Darmstadt,2014-08-04T00:00:00+02:00,2014-08-04T07:15:17+02:00,26117
8/4/14,move,walking,2014-08-04T07:15:17+02:00,2014-08-04T07:20:20+02:00,303
8/4/14,move,transport,2014-08-04T07:20:20+02:00,2014-08-04T07:29:44+02:00,564
8/4/14,move,walking,2014-08-04T07:29:44+02:00,2014-08-04T07:37:54+02:00,490
8/4/14,place,Place in Darmstadt,2014-08-04T07:37:55+02:00,2014-08-04T08:52:44+02:00,4489
8/4/14,move,walking,2014-08-04T08:52:44+02:00,2014-08-04T08:58:09+02:00,325
8/4/14,place,Place in Friedensplatz,2014-08-04T08:58:09+02:00,2014-08-04T09:40:47+02:00,2558
8/4/14,move,transport,2014-08-04T09:40:47+02:00,2014-08-04T09:49:57+02:00,550
8/4/14,move,walking,2014-08-04T09:49:57+02:00,2014-08-04T09:54:33+02:00,276
8/4/14,place,Place in Darmstadt,2014-08-04T09:54:34+02:00,2014-08-04T10:03:16+02:00,522
8/4/14,move,transport,2014-08-04T10:03:16+02:00,2014-08-04T11:45:15+02:00,6119
8/4/14,place,Place in Innenstadt,2014-08-04T11:45:15+02:00,2014-08-04T11:57:57+02:00,762
8/4/14,move,walking,2014-08-04T11:57:57+02:00,2014-08-04T12:04:29+02:00,392
8/4/14,place,Place in Innenstadt,2014-08-04T12:04:29+02:00,2014-08-04T12:16:38+02:00,729
8/4/14,move,walking,2014-08-04T12:16:38+02:00,2014-08-04T12:37:11+02:00,1233
8/4/14,move,transport,2014-08-04T12:37:11+02:00,2014-08-04T12:42:16+02:00,305
8/4/14,move,walking,2014-08-04T12:42:16+02:00,2014-08-04T12:47:17+02:00,301
8/4/14,place,Place in Hauptbahnhof,2014-08-04T12:47:17+02:00,2014-08-04T12:49:53+02:00,156
8/4/14,move,walking,2014-08-04T12:49:53+02:00,2014-08-04T12:51:43+02:00,110
8/4/14,move,transport,2014-08-04T12:51:43+02:00,2014-08-04T13:31:57+02:00,2414
8/4/14,move,walking,2014-08-04T13:31:57+02:00,2014-08-04T13:33:59+02:00,122
8/4/14,move,transport,2014-08-04T13:33:59+02:00,2014-08-04T13:58:24+02:00,1465
8/4/14,move,walking,2014-08-04T13:58:24+02:00,2014-08-04T14:03:30+02:00,306
8/4/14,place,Place in Darmstadt,2014-08-04T14:03:30+02:00,2014-08-05T00:00:00+02:00,35790
