Date,Type,Name,Start,End,Duration
8/29/14,place,Place in Darmstadt,2014-08-29T00:00:00+02:00,2014-08-29T00:03:37+02:00,217
8/29/14,move,walking,2014-08-29T00:03:37+02:00,2014-08-29T00:11:07+02:00,450
8/29/14,place,Place in Studentenwohnheim Karlshof,2014-08-29T00:11:07+02:00,2014-08-29T00:13:56+02:00,169
8/29/14,move,walking,2014-08-29T00:13:56+02:00,2014-08-29T00:19:13+02:00,317
8/29/14,place,Place in Darmstadt,2014-08-29T00:19:13+02:00,2014-08-29T10:31:24+02:00,36731
8/29/14,move,walking,2014-08-29T10:31:24+02:00,2014-08-29T10:35:59+02:00,275
8/29/14,place,H Karlshof,2014-08-29T10:35:59+02:00,2014-08-29T10:50:49+02:00,890
8/29/14,move,transport,2014-08-29T10:50:49+02:00,2014-08-29T10:56:57+02:00,368
8/29/14,move,walking,2014-08-29T10:56:56+02:00,2014-08-29T10:59:21+02:00,145
8/29/14,place,Place in Friedensplatz,2014-08-29T10:59:21+02:00,2014-08-29T12:05:19+02:00,3958
8/29/14,move,transport,2014-08-29T12:05:19+02:00,2014-08-29T12:09:27+02:00,248
8/29/14,move,walking,2014-08-29T12:09:27+02:00,2014-08-29T12:14:35+02:00,308
8/29/14,place,Place in Darmstadt,2014-08-29T12:14:35+02:00,2014-08-30T00:00:00+02:00,42325
