Date,Type,Name,Start,End,Duration
7/10/14,place,Place in Darmstadt,2014-07-10T00:00:00+02:00,2014-07-10T00:46:20+02:00,2780
7/10/14,move,walking,2014-07-10T00:46:20+02:00,2014-07-10T00:49:56+02:00,216
7/10/14,place,Place in Darmstadt,2014-07-10T00:49:56+02:00,2014-07-10T10:18:23+02:00,34107
7/10/14,move,walking,2014-07-10T10:18:23+02:00,2014-07-10T10:23:11+02:00,288
7/10/14,move,transport,2014-07-10T10:23:11+02:00,2014-07-10T10:26:41+02:00,210
7/10/14,move,walking,2014-07-10T10:26:41+02:00,2014-07-10T10:33:19+02:00,398
7/10/14,place,Place in TU Darmstadt / S1,2014-07-10T10:33:19+02:00,2014-07-10T10:55:18+02:00,1319
7/10/14,move,walking,2014-07-10T10:55:18+02:00,2014-07-10T10:59:34+02:00,256
7/10/14,move,transport,2014-07-10T10:59:34+02:00,2014-07-10T11:04:59+02:00,325
7/10/14,move,walking,2014-07-10T11:04:58+02:00,2014-07-10T11:10:03+02:00,305
7/10/14,place,Place in Darmstadt,2014-07-10T11:10:03+02:00,2014-07-10T13:06:50+02:00,7007
7/10/14,move,walking,2014-07-10T13:06:50+02:00,2014-07-10T13:21:45+02:00,895
7/10/14,move,running,2014-07-10T13:21:46+02:00,2014-07-10T13:23:47+02:00,121
7/10/14,move,walking,2014-07-10T13:23:47+02:00,2014-07-10T13:32:20+02:00,513
7/10/14,move,transport,2014-07-10T13:32:20+02:00,2014-07-10T13:51:27+02:00,1147
7/10/14,move,walking,2014-07-10T13:51:27+02:00,2014-07-10T14:04:19+02:00,772
7/10/14,place,Place in Dieburg,2014-07-10T14:04:19+02:00,2014-07-10T14:58:07+02:00,3228
7/10/14,move,walking,2014-07-10T14:58:07+02:00,2014-07-10T15:09:23+02:00,676
7/10/14,move,transport,2014-07-10T15:09:23+02:00,2014-07-10T15:24:11+02:00,888
7/10/14,move,walking,2014-07-10T15:24:10+02:00,2014-07-10T15:50:44+02:00,1594
7/10/14,place,Place in Studentenwohnheim Karlshof,2014-07-10T15:50:45+02:00,2014-07-10T15:56:03+02:00,318
7/10/14,move,walking,2014-07-10T15:56:03+02:00,2014-07-10T15:59:27+02:00,204
7/10/14,place,Place in Darmstadt,2014-07-10T15:59:27+02:00,2014-07-11T00:00:00+02:00,28833
