Date,Type,Name,Start,End,Duration
9/26/14,place,Place in Studentenwohnheim Karlshof,2014-09-26T00:00:00+02:00,2014-09-26T17:30:37+02:00,63037
9/26/14,move,walking,2014-09-26T17:30:37+02:00,2014-09-26T17:40:21+02:00,584
9/26/14,place,Place in Bürgerpark Nord,2014-09-26T17:40:21+02:00,2014-09-26T19:29:19+02:00,6538
9/26/14,move,walking,2014-09-26T19:29:19+02:00,2014-09-26T19:41:59+02:00,760
9/26/14,place,Place in Studentenwohnheim Karlshof,2014-09-26T19:41:59+02:00,2014-09-27T00:00:00+02:00,15481
