Date,Type,Name,Start,End,Duration
7/7/14,place,Place in Darmstadt,2014-07-07T00:00:00+02:00,2014-07-07T09:22:28+02:00,33748
7/7/14,move,walking,2014-07-07T09:22:28+02:00,2014-07-07T09:28:41+02:00,373
7/7/14,place,Place in Darmstadt,2014-07-07T09:28:41+02:00,2014-07-07T09:43:49+02:00,908
7/7/14,move,walking,2014-07-07T09:43:49+02:00,2014-07-07T09:52:16+02:00,507
7/7/14,place,KOM Lab,2014-07-07T09:52:16+02:00,2014-07-07T09:55:35+02:00,199
7/7/14,move,walking,2014-07-07T09:55:35+02:00,2014-07-07T10:05:22+02:00,587
7/7/14,place,Place in TU Darmstadt / S1,2014-07-07T10:05:22+02:00,2014-07-07T11:26:19+02:00,4857
7/7/14,move,walking,2014-07-07T11:26:19+02:00,2014-07-07T11:37:38+02:00,679
7/7/14,place,Place in TU Darmstadt,2014-07-07T11:37:38+02:00,2014-07-07T12:39:05+02:00,3687
7/7/14,move,walking,2014-07-07T12:39:05+02:00,2014-07-07T13:09:12+02:00,1807
7/7/14,place,Place in Darmstadt,2014-07-07T13:09:12+02:00,2014-07-07T22:33:17+02:00,33845
7/7/14,move,walking,2014-07-07T22:33:17+02:00,2014-07-07T22:55:50+02:00,1353
7/7/14,place,Place in Friedensplatz,2014-07-07T22:55:49+02:00,2014-07-07T23:13:27+02:00,1058
7/7/14,place,Place in Darmstadt,2014-07-07T23:13:27+02:00,2014-07-07T23:31:54+02:00,1107
7/7/14,move,walking,2014-07-07T23:31:54+02:00,2014-07-07T23:43:08+02:00,674
7/7/14,place,Place in Darmstadt,2014-07-07T23:43:08+02:00,2014-07-07T23:50:41+02:00,453
7/7/14,move,walking,2014-07-07T23:50:41+02:00,2014-07-07T23:59:59+02:00,558
