Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
7/7/14,walking,walking,2014-07-07T00:02:07+02:00,2014-07-07T00:02:08+02:00,1,0.001,1,0
7/7/14,walking,walking,2014-07-07T07:29:48+02:00,2014-07-07T07:30:18+02:00,30,0.015,30,0
7/7/14,walking,walking,2014-07-07T08:52:12+02:00,2014-07-07T08:52:42+02:00,30,0.021,41,0
7/7/14,walking,walking,2014-07-07T09:02:19+02:00,2014-07-07T09:02:59+02:00,40,0.020,37,0
7/7/14,walking,walking,2014-07-07T09:22:28+02:00,2014-07-07T09:28:41+02:00,373,0.348,578,0
7/7/14,walking,walking,2014-07-07T09:33:03+02:00,2014-07-07T09:33:29+02:00,26,0.017,33,0
7/7/14,walking,walking,2014-07-07T09:43:49+02:00,2014-07-07T09:52:16+02:00,507,0.667,556,0
7/7/14,walking,walking,2014-07-07T09:54:47+02:00,2014-07-07T09:54:56+02:00,9,0.006,12,0
7/7/14,walking,walking,2014-07-07T09:55:35+02:00,2014-07-07T10:05:22+02:00,587,0.476,840,0
7/7/14,walking,walking,2014-07-07T11:26:19+02:00,2014-07-07T11:37:38+02:00,679,0.554,1108,0
7/7/14,walking,walking,2014-07-07T11:37:38+02:00,2014-07-07T11:37:42+02:00,4,0.003,6,0
7/7/14,walking,walking,2014-07-07T12:25:45+02:00,2014-07-07T12:25:50+02:00,5,0.003,6,0
7/7/14,walking,walking,2014-07-07T12:39:05+02:00,2014-07-07T13:09:12+02:00,1807,1.953,2757,0
7/7/14,walking,walking,2014-07-07T13:09:12+02:00,2014-07-07T13:09:15+02:00,3,0.002,4,0
7/7/14,walking,walking,2014-07-07T14:13:45+02:00,2014-07-07T14:13:48+02:00,3,0.002,4,0
7/7/14,walking,walking,2014-07-07T20:34:12+02:00,2014-07-07T20:34:42+02:00,30,0.015,20,0
7/7/14,walking,walking,2014-07-07T22:33:17+02:00,2014-07-07T22:55:50+02:00,1353,1.929,2398,0
7/7/14,walking,walking,2014-07-07T22:55:49+02:00,2014-07-07T22:58:03+02:00,134,0.149,199,0
7/7/14,walking,walking,2014-07-07T23:00:35+02:00,2014-07-07T23:10:48+02:00,613,0.746,994,0
7/7/14,walking,walking,2014-07-07T23:13:39+02:00,2014-07-07T23:21:55+02:00,496,0.517,689,0
7/7/14,walking,walking,2014-07-07T23:31:54+02:00,2014-07-07T23:43:08+02:00,674,0.788,859,0
7/7/14,walking,walking,2014-07-07T23:50:41+02:00,2014-07-07T23:59:59+02:00,558,0.593,885,0
7/8/14,walking,walking,2014-07-08T00:00:00+02:00,2014-07-08T00:07:31+02:00,451,0.380,716,0
7/8/14,walking,walking,2014-07-08T00:10:58+02:00,2014-07-08T00:14:37+02:00,219,0.143,285,0
7/8/14,transport,transport,2014-07-08T00:14:37+02:00,2014-07-08T00:23:36+02:00,539,2.230,0,0
7/8/14,walking,walking,2014-07-08T00:23:35+02:00,2014-07-08T00:35:20+02:00,705,0.841,1214,0
7/8/14,walking,walking,2014-07-08T00:35:21+02:00,2014-07-08T00:35:27+02:00,6,0.004,8,0
7/8/14,walking,walking,2014-07-08T08:24:08+02:00,2014-07-08T08:24:36+02:00,28,0.019,37,0
